rowname,estimate,SE,Adjusted SE,z value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),0.4677170218598039,0.09563209770723773,0.09626194431180597,4.858794669104155,1.2e-6,0.2790470779268639,0.6563869657927439,global
elevation_change,-0.7467493226535256,0.22760656586367414,0.2294880412506853,3.2539792425950456,0.001138,-1.196537618387511,-0.2969610269195402,global
snowdepth,-0.35295210577920927,0.05901647060379495,0.05951953066664703,5.930021655513374,0,-0.4696082422625647,-0.23629596929585384,global
veg_foliage,-0.0246719920650645,0.059126939490928135,0.05926683938625933,0.41628661694391883,0.6772003,-0.26660846240039804,0.011080669972370838,global
latitude,0.024838726103735817,0.09360456673802817,0.0940967354964119,0.26397011514478064,0.7918029,-0.20621736385286374,0.5336250583323977,global
