(Intercept),elevation_change,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.47969740293356566,-0.7789317852567081,NA,-0.3485415846051586,NA,5,70.46614018888451,-130.5067484628754,0,0.581732375089564
0.5107965427470782,-0.7045639763440938,NA,-0.36269002709065645,-0.1277638962140136,6,70.33172825824634,-128.0634565164927,2.4432919463827147,0.171462491146089
0.3611588265516807,-0.6614756157393277,0.16370384723976697,-0.3596031683756511,NA,6,70.09058856808747,-127.58117713617494,2.9255713267004637,0.134723542039334
0.05892591492081738,NA,0.4149432548015802,-0.3714543552512616,NA,5,67.72387886046744,-125.02222580604126,5.4845226568341445,0.0374778157131721
0.4505883917389501,-0.6528612965435988,0.0797079016096633,-0.3673633131874714,-0.11773966037435149,7,69.65465254497747,-124.50354969427147,6.003198768603937,0.0289164639874952
0.2852832243598563,NA,NA,-0.3533659193145091,NA,4,66.30062458562736,-124.31955903040965,6.1871894324657575,0.0263749788295656
0.3444644539679003,NA,NA,-0.3670077946513086,-0.15101518190739385,5,66.55989254290857,-122.69425317092353,7.812495291951876,0.0117020361828308
0.15243280736257125,NA,0.32709731381712026,-0.3794186816866776,-0.1165879427837151,6,67.21661128133734,-121.83322256267468,8.67352590020073,0.00760835933443848
0.44447979560999257,-0.7971499874214446,NA,NA,NA,4,56.472641072955426,-104.66359200506578,25.843156457809627,1.42217523540198e-06
0.49627484224603985,-0.8469357806645479,-0.07122908749369512,NA,NA,5,55.797587880591905,-101.1696438462902,29.337104616585208,2.4788594843188e-07
0.45996531043708905,-0.7591455649624963,NA,NA,-0.06663733251701555,5,55.20308780224272,-99.98064368959183,30.526104773283578,1.36792978440355e-07
0.24570071770854715,NA,NA,NA,NA,3,52.35112901347672,-98.53442585912127,31.972322603754137,6.63776073862213e-08
0.5618002309867207,-0.8440041783008764,-0.13426854262064192,NA,-0.08365506044225163,6,54.72967115154485,-96.8593423030897,33.6474061597857,2.87264408733724e-08
0.11161988064845473,NA,0.24295783747399088,NA,NA,4,52.369338606198376,-96.45698707155168,34.04976139132373,2.34915402660685e-08
0.2833088873252459,NA,NA,NA,-0.09904757595542436,4,51.47963326432385,-94.67757638780263,35.829172075072776,9.64977911822841e-09
0.17387993214988534,NA,0.18272382715343055,NA,-0.07664417486776491,5,51.23162566159776,-92.03771940830191,38.4690290545735,2.5779810041255e-09
