model,parameter,overlap_estimate,overlap_SE,stat.overlap,P_value,lwr.overlap,upr.overlap
linear_noFoliage,(Intercept),3.6141135104585813,0.9209916903990814,3.924154309028048,8.703493739536938e-5,1.8090029672157182,5.419224053701444
linear_noFoliage,foliageleaf-on,-2.6275239769143774,0.1373343850406151,-19.132309626153106,0,-2.896694425432939,-2.3583535283958157
