Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt
linear_micro,5,51128.021737363626,0,1,1,-25559.008112595457,1
linear_foliage,4,55542.446816310156,4414.4250789465295,0,0,-27767.221570932958,1
linear_snowdepth,4,55869.09163659799,4741.0698992343605,0,0,-27930.543981076873,1
linear_macro,11,55889.05637349412,4761.034636130491,0,0,-27933.51605327891,1
linear_elevChange,4,55892.23945820604,4764.217720842411,0,0,-27942.1178918809,1
linear_null,3,55900.47331542331,4772.451578059685,0,0,-27947.235555479634,1
linear_vegStructure,4,55901.72682704942,4773.705089685791,0,0,-27946.86157630259,1
linear_latitude,4,55901.82036190973,4773.798624546107,0,0,-27946.908343732746,1
