model,parameter,overlap_estimate,overlap_SE,stat.overlap,P_value,lwr.overlap,upr.overlap
linear_noMacro,(Intercept),5.168899612503045,0.907196374055087,5.6976634390617376,1.2146052386086126e-8,3.390827392449748,6.9469718325563425
linear_noMacro,microsoil,-6.160933271525335,0.09835846759501217,-62.63754836942742,0,-6.353712325586108,-5.968154217464561
linear_noMacro,microsurface,-1.3236692377479577,0.0835913288810176,-15.835006518822603,0,-1.4875052317745951,-1.1598332437213204
