(Intercept),elevation_change,height,latitude,n_days,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
11.100637928619442,-11.50076934217791,8.677244242401322,-0.1504074278027806,9.904941495349686,-1.6372544266092486,-11.81161785897763,9,-1564.854416007483,3148.0702777980987,0,0.540879736641618
11.212991378356076,-11.784192007778971,8.675806196640536,-0.5610430258575748,9.864626574087044,NA,-11.73116647162966,8,-1566.766879268833,3149.822335691975,1.7520578938760991,0.225240339786195
10.991215424967821,-11.458035075918685,8.686912640364614,NA,9.913349273029489,-1.6511910459239667,-11.745834132863095,8,-1567.2930484336848,3150.8746740216784,2.8043962235797153,0.133086440287613
11.02530704054577,-11.72348677304213,8.688299712415422,NA,9.678385405459432,NA,-11.614913073093316,7,-1569.215096827654,3152.654193655308,4.5839158572093766,0.0546658405564903
16.293927187763725,-14.876842151946347,8.622281094884961,4.894690064315528,NA,-1.578781820054198,-11.949314949452551,8,-1569.526583161835,3155.341743477979,7.2714656798802935,0.0142600812957613
6.504144279724188,NA,8.645938725259827,0.298449821711413,12.033043277652958,-1.7569971961708315,-11.781670832150489,8,-1569.600141591329,3155.488860336967,7.418582538868122,0.0132487828315254
16.373165486043863,-15.134149862709782,8.621633465365404,4.486364945153638,NA,NA,-11.860795284891882,7,-1571.4015327476743,3157.027065495349,8.956787697250093,0.00613986716309557
6.50995218189122,NA,8.643251824359757,-0.1273627043512466,12.035137657821467,NA,-11.69664721901506,7,-1571.5934551445198,3157.4109102890397,9.340632490941061,0.00506766779307711
6.4846971133201,NA,8.651370206984899,NA,12.251448896375441,-1.7614235845755037,-11.768571964546377,7,-1572.0783823681231,3158.3807647362464,10.310486938147733,0.00312037593578388
19.02497565166616,-16.23819925287966,8.57837685585505,NA,NA,-1.421336691288163,-12.592010765643293,7,-1572.5408100096495,3159.305620019299,11.235342221200426,0.00196506602501811
6.417677739826924,NA,8.651565745052741,NA,12.049499626519161,NA,-11.63406506522426,6,-1574.075710475872,3160.319085622403,12.248807824304095,0.00118387510318525
18.88670463603314,-16.369327991486504,8.582354696304698,NA,NA,NA,-12.45468195460696,6,-1574.3197187404035,3160.8071021514656,12.736824353366956,0.000927543838110431
11.500720020632503,NA,8.578252502949905,6.987105239744749,NA,-1.6917668308815317,-11.958604537254997,7,-1575.170594161353,3164.565188322706,16.49491052460735,0.000141669513104037
11.49686767082791,NA,8.576591925593245,6.587482558942084,NA,NA,-11.863166409281732,6,-1577.1195016500326,3166.406667970724,18.336390172625215,5.64162449773729e-05
14.858029652731378,NA,8.51694180776247,NA,NA,-1.5030468714155072,-12.79711207949304,6,-1578.7313469128435,3169.6303584963457,21.56008069824702,1.1256118930642e-05
14.677984332906275,NA,8.519718957608541,NA,NA,NA,-12.657574325305916,5,-1580.5591444858387,3171.237810884028,23.167533085929335,5.03888935583074e-06
