rowname,estimate,SE,Adjusted SE,z value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),11.11258610459099,3.60444124769375,3.613194877244182,3.075556808346486,0.0021011,4.030854276067773,18.194317933114206,global
elevation_change,-11.565438431032781,5.5137310902984344,5.5271192283330945,2.092489406008483,0.0363948,-22.39839305682446,-0.7324838052411025,global
height,8.67831499393007,1.122874216873401,1.1256021361920425,7.709931169186618,0,6.4721753460723175,10.884454641787821,global
latitude,-0.23100572321973573,4.256218474198567,4.266538525048628,0.05414359248451948,0.9568208,-9.32834518047046,8.78607548121838,global
n_days,9.896087483269572,4.203098204364564,4.213309623170431,2.348768158135733,0.0188356,1.6381523661395025,18.154022600399642,global
snowdepth,-1.2292047055596846,1.533075446177826,1.5360016635736082,0.8002626134530737,0.4235587,-4.722865308835059,1.4428523958648092,global
veg_foliage,-11.78172948599504,1.8415752864547,1.84604754649729,6.382137615225467,0,-15.399916190878258,-8.163542781111822,global
