rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),12.509831104343498,3.790182560391443,3.3005880073099974,5.139281632936465,19.900899822777035,meso
elevation_change,-11.291775927685137,5.970911243212822,-1.8911310967016266,-22.734378566794344,0.11763179507722699,meso
veg_foliage,-11.340833952033055,1.8784771560648428,-6.037248797739217,-14.946998223819472,-7.441221367949913,meso
snowdepth,-1.676726606672937,1.650469125927783,-1.0159091014382917,-4.952531870567181,1.5200715128983813,meso
n_days,9.22038787492867,4.019193975928223,2.2940887974433344,1.381228722833016,16.99093823604322,meso
.sig01,NA,NA,NA,4.586988550902608,7.846796284825975,meso
.sigma,NA,NA,NA,4.8706623492220436,5.533604276104264,meso
