rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),0.5158534390405516,2.7257197077934943,0.18925402988634576,-4.734777911731299,5.814517195155607,macro
latitude,7.222993730485864,4.7158776324891205,1.5316329840122345,-1.8461494669627374,16.351591210564695,macro
n_days,10.806931478102848,4.4651844802512155,2.4202653946102672,2.0594369844480296,19.4378067447489,macro
.sig01,NA,NA,NA,4.642951280807229,7.836298936951267,macro
.sigma,NA,NA,NA,5.057889145791677,5.744728709038211,macro
