(Intercept),elevation_change,height,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.653293073853357,-0.683335144353744,0.21093957280338185,NA,-0.21358172768642322,-0.19807521508960357,7,268.96863993624476,-523.7132798724895,0,0.921462315738762
0.6657159126845079,-0.6895072917528935,0.21076074219196325,-0.02134490338316715,-0.21223037489613777,-0.20198355330212373,8,267.5211963216255,-518.7538154889423,4.959464383547129,0.077186895099376
0.572338094459057,-0.6922133166801901,0.20510509578619832,NA,-0.19552570454251605,NA,6,261.1689836180265,-510.17030256539437,13.5429773070951,0.00105598420548844
0.513018664952126,-0.6582224538927718,0.20672894918118118,0.11736866224444996,-0.2025951916689267,NA,7,260.50807464546773,-506.79214929093547,16.921130581553996,0.000195029702992274
0.47638550475606345,NA,0.21073680835687997,NA,-0.2125252073861237,-0.20311295715420524,6,258.2083554736839,-504.2490462767092,19.464233595780286,5.4685596840856e-05
0.6322335542071156,-0.7035684149378194,0.21205804429453926,NA,NA,-0.17646706648806634,6,257.70506885621455,-503.24247304177044,20.470806830719027,3.30596579307987e-05
0.43957844808961527,NA,0.2113354898459547,0.0772605232957678,-0.21434562709345747,-0.194595096858178,7,257.23002473698887,-500.23604947397774,23.477230398511722,7.35295270792174e-06
0.676736437907129,-0.7248495336364047,0.21122589800030478,-0.07649753126236918,NA,-0.19017068381944544,7,256.5945930347407,-498.9651860694814,24.74809380300809,3.89490877997857e-06
0.5609649118020855,-0.7097793225318313,0.20653678021709665,NA,NA,NA,5,252.29647563213783,-494.47342935192506,29.239850520564403,4.12215874548794e-07
0.39100811767981775,NA,0.20737658733326933,NA,-0.1982428849628711,NA,5,251.68015996764169,-493.2407980229328,30.472481849556686,2.22567742286371e-07
0.30208531872151617,NA,0.20896474275018403,0.20675000938631308,-0.20525780176946662,NA,6,251.9185958037961,-491.66952693693355,32.043752935555915,1.01453033979689e-07
0.5321504731616251,-0.6938224058524851,0.20751809819411107,0.056727224435836436,NA,NA,6,251.03930097521817,-489.91093727977767,33.802342592711796,4.21106696061391e-08
0.45074723751090695,NA,0.21130726587062554,NA,NA,-0.18290735966320754,5,247.332341786104,-484.5451616598574,39.168118212632066,2.87891455777079e-09
0.6740232587207006,-0.6714082434432245,NA,NA,-0.21610952933403818,-0.18038087993432125,6,246.4527968049458,-480.7379289392329,42.97535093325655,4.29040899886345e-10
0.43732146713556885,NA,0.21155224021939237,0.028247766013955518,NA,-0.17994677514683874,6,246.22198486664487,-480.2763050626311,43.436974809858384,3.40610744595575e-10
0.3748924432678901,NA,0.20816439255451955,NA,NA,NA,4,242.7038509174505,-477.3281789720779,46.385100900411544,7.7997538502905e-11
0.6997145220199386,-0.6840112775860431,NA,-0.044011165434416626,-0.21344790676054415,-0.1888684966601398,7,245.1162460370862,-476.0084920741724,47.70478779831706,4.03194434193324e-11
0.30988499488009785,NA,0.20945280084714873,0.15024438307442248,NA,NA,5,242.2606668765326,-474.40181184071463,49.31146803177484,1.80562828194765e-11
0.5993465147602989,-0.6794106089328376,NA,NA,-0.19905312007667417,NA,5,240.8042299660193,-471.488938019688,52.224341852801444,4.20829169565096e-12
0.5555394334867678,-0.6540675211112368,NA,0.08706421566494527,-0.20488688844274244,NA,6,239.7843801684492,-467.4010956662397,56.31218420624975,5.45057282475457e-13
0.5026781296172883,NA,NA,NA,-0.2144053069826832,-0.1916501417448901,5,236.43880214996938,-462.75808238758816,60.955197484901305,5.34840915390895e-14
0.6531542723959518,-0.6918212621865789,NA,NA,NA,-0.15918292714692964,5,236.10924748694885,-462.0989730615471,61.61430681094237,3.8468110226483e-14
0.4781844582851633,NA,NA,0.05136972618043453,-0.21558853179465032,-0.18577569511401482,6,235.3587234991642,-458.54978232766973,65.16349754481973,6.52234664012505e-15
0.7114038172345568,-0.7196872081693025,NA,-0.10001381548088388,NA,-0.17762152987069213,6,235.22561843017434,-458.28357218969,65.42970768279946,5.70948688052721e-15
0.5880425064768742,-0.6973908075501194,NA,NA,NA,NA,4,232.47873302263702,-456.87794318245096,66.8353366900385,2.82727868241561e-15
0.42156418046753263,NA,NA,NA,-0.20062553245849196,NA,4,231.34008115294975,-454.60063944307643,69.11264042941303,9.05437327693661e-16
0.3462523720879038,NA,NA,0.17570224703089257,-0.20729578444859012,NA,5,231.19928075398215,-452.2790395956137,71.43424027687576,2.83615128651519e-16
0.5751790225356871,-0.6902433329913248,NA,0.02550389281943667,NA,NA,5,231.07419791823347,-452.02887392411634,71.68440594837313,2.50268740503939e-16
0.47700654041801627,NA,NA,NA,NA,-0.1714965321435731,4,226.51465906640803,-444.949795269993,78.76348460249648,7.26447460283753e-18
0.4764148439946283,NA,NA,0.0016135719315804199,NA,-0.1716675812846086,5,225.39097018402992,-440.66241845570926,83.05086141678021,8.51553941845832e-19
0.4053944925114845,NA,NA,NA,NA,NA,3,223.0642630733301,-440.08090709904116,83.63237277344831,6.36705464145678e-19
0.3542736319338663,NA,NA,0.11851804596287689,NA,NA,4,222.35343690597244,-436.6273509491218,87.08592892336765,1.13242223348949e-19
