rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),0.6657159126843476,0.06844892402959947,9.725732319714348,0.5346436074436101,0.7965807563605742,global
elevation_change,-0.6895072917527489,0.12116476821100486,-5.6906582823811656,-0.9213555431750183,-0.45785363559826125,global
latitude,-0.02134490338294405,0.09193488834016149,-0.2321741372433863,-0.19720577642612344,0.15450583596082354,global
height,0.21076074219192345,0.02907379514126414,7.249165138843291,0.15376030579531383,0.26733410999777596,global
veg_foliage,-0.20198355330205722,0.0465705185663202,-4.33715491087814,-0.29171388338307597,-0.11170922736121053,global
snowdepth,-0.21223037489630972,0.04076899870414279,-5.205680336582406,-0.29304512705036423,-0.13333317920415688,global
.sig01,NA,NA,NA,0.09521859202559944,0.16210976153626264,global
.sigma,NA,NA,NA,0.12024195969120119,0.1365671873144983,global
