rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),0.6740232581660911,0.043789379106912774,15.392391303846713,0.5893012500420167,0.7591247242933618,meso
elevation_change,-0.67140824312117,0.1199140744938484,-5.599077889356626,-0.9044032406184963,-0.4387429794083683,meso
veg_foliage,-0.18038087881048884,0.04513002601079066,-3.9969150198885215,-0.2676986101330687,-0.09219125552653284,meso
snowdepth,-0.2161095302480284,0.04251562576563441,-5.083061259390207,-0.30044238424864295,-0.1335831131315925,meso
.sig01,NA,NA,NA,0.09749154133499101,0.16664767346254394,meso
.sigma,NA,NA,NA,0.12657654005075197,0.14376632683225687,meso
