rowname,estimate,SE,t value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),-1.6686849517765374,0.0017257476939613854,-966.9344815673126,0,-3.3587005790777993,-0.4056763161354461,micro
height,7.548737312831639,0.0017249458897484844,4376.216875957962,0,-8.551712185254388,27.13005204835049,micro
.sig01,NA,NA,NA,NA,0.6853225677182061,1.579939306454047,micro
.sigma,NA,NA,NA,NA,1.393514815603226,1.7349697856266073,micro
