(Intercept),elevation_change,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
-0.21090697373841438,-3.1357902157162574,0.775105005928711,NA,-0.45648743471674696,6,145.4299322456009,-278.5598644912018,0,0.411478108556421
-0.2177132201752668,-3.1116402033117776,0.8000312251610917,-0.12945671476332782,-0.4602673803312197,7,145.72730271396958,-277.0531717361829,1.5066927550188893,0.193719152384581
0.1505344046672873,-3.205845082548652,NA,NA,-0.5927343096983071,5,143.5675525362553,-276.921581940838,1.6382825503637832,0.181383675950866
-0.5561221746725837,-3.126964890519306,1.125615763785809,NA,NA,5,142.824077788394,-275.43463244511537,3.12523204608641,0.0862404906521694
0.15445285239776518,-3.190124719985759,NA,-0.10535359971011082,-0.5985864515858854,6,143.76529366267295,-275.2305873253459,3.329277165855899,0.0778759547169521
-0.5651078037038949,-3.1049023719718405,1.1517200773228224,-0.1202558251739239,NA,6,143.0769715518544,-273.8539431037088,4.705921387492992,0.0391263098080364
-0.12113211641431491,-3.2571035446027663,NA,NA,NA,4,139.30594370081803,-270.47004343000486,8.089821061196915,0.00720550479651138
-0.1216795586875404,-3.2355969226218,NA,-0.08962847480647779,NA,5,139.44479075684401,-268.6760583820154,9.883806109186366,0.00293836341553647
-0.8762378537745474,NA,NA,NA,-0.4931655050307798,4,132.5167808785467,-256.8917177854622,21.66814670573956,8.11275687542984e-06
-1.265629746984818,NA,0.984157203759046,NA,-0.42196068177674556,5,133.4222302989329,-256.6309374661932,21.92892702500859,7.12099587726979e-06
-0.8710322753356929,NA,NA,-0.14191350317997065,-0.4999710022877305,5,132.87181991977099,-255.53011670786938,23.029747783332397,4.10677154178741e-06
-1.5832564902703972,NA,1.307401820161771,NA,NA,4,131.78788312857372,-255.43392228551625,23.125942205685533,3.91392221680836e-06
-1.2643693745712739,NA,1.0134136994116307,-0.15402268844318706,-0.42796816682609184,6,133.83837828441503,-255.37675656883005,23.183107922371732,3.80363480569052e-06
-1.1083535672917972,NA,NA,NA,NA,3,130.22371710595235,-254.36262855819444,24.197235933007335,2.29078174356289e-06
-1.5913479282665695,NA,1.346677577018105,-0.14479297731833443,NA,5,132.15227690872464,-254.0910306857767,24.468833805425078,1.99989403336294e-06
-1.1011460928774914,NA,NA,-0.1281735438951247,NA,4,130.51040285557627,-252.87896173952134,25.680902751680435,1.09096183296994e-06
