rowname,estimate,SE,t value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),-1.5832564902703972,0.001754967385700401,-902.1572156673017,0,-2.6924006046005013,-0.8581594718590895,macro
latitude,1.307401820161771,0.001754169380830465,745.3110483223783,0,-0.3256526963711342,3.281482607865872,macro
.sig01,NA,NA,NA,NA,0.7066243002866838,1.5559060865034702,macro
.sigma,NA,NA,NA,NA,1.4145360497561155,1.734242545257222,macro
