(Intercept),elevation_change,foliage_cover,height,latitude,snowdepth,veg_structure,foliage_cover:veg_structure,df,logLik,AICc,delta,weight
4.265802000292309,NA,0.06789772045168947,NA,NA,-0.11858301024907722,-0.003867499155078725,-0.11011059890029257,7,-57151.8706856552,114317.74655145934,0,0.34167639952831
4.286039215650228,NA,0.06336721611451851,NA,-0.02831837370558256,-0.11862396887886362,-0.02428289874112266,-0.10363568997320136,8,-57151.47435948131,114318.95537946216,1.2088280028256122,0.18669011206275
4.2657597401060405,2.3801927954009844e-4,0.06792647076665233,NA,NA,-0.11858330231949347,-0.0039053338223955687,-0.11015213033188473,8,-57151.87067702764,114319.74801455482,2.0014630954829045,0.125603804123326
4.2658015054550935,NA,0.06789859329908042,2.3368554672335553e-6,NA,-0.11858309749388536,-0.0038677005302271373,-0.11011176925121681,8,-57151.870683733236,114319.74802796601,2.001476506673498,0.125602961877872
4.290396840153646,-0.014911115613171488,0.06111308008817254,NA,-0.03060070564191773,-0.11866835202020212,-0.02375021605911941,-0.10037878907718702,9,-57151.43993140661,114320.88818882275,3.141637363412883,0.0710259573862565
4.286041304863004,NA,0.06336683065690432,-2.941886284419571e-6,-0.02832036715813727,-0.11862400257675124,-0.024283930821124605,-0.10363514699206525,9,-57151.47435646882,114320.95703894716,3.210487487827777,0.0686224914712865
4.265759390152607,2.3418175226278307e-4,0.06792658546184016,2.2606014800560866e-6,NA,-0.11858279084417066,-0.0039021917250536718,-0.11015257168697057,9,-57151.8706751416,114321.74967629273,4.003124833398033,0.0461686812053387
4.290405761757073,-0.014903458073282007,0.06110064263001165,-1.1606580729714817e-6,-0.030605469597920883,-0.11867171641613773,-0.023779539582317162,-0.10035945900491111,10,-57151.43993159074,114322.89003988609,5.1434884267509915,0.0261048174923593
4.332353753223902,-0.07417159801956627,-0.007705549191636572,NA,-0.0547175801429341,-0.12051648795543116,-0.048123879252701396,NA,8,-57156.523246973586,114329.05315444671,11.30660298737348,0.00119789110141026
4.289002035454244,-0.06556997272756898,-0.007594667199698568,NA,NA,-0.12071200059511156,NA,NA,6,-57158.72660265487,114329.45709024175,11.710538782412186,0.000978822165304717
4.274305536946541,NA,-0.0076275061943310695,NA,NA,-0.12071955212839328,NA,NA,5,-57159.75302154185,114329.50881790681,11.762266447476577,0.00095383065400571
4.315209727898383,NA,-0.0075770357981784844,NA,-0.04611864129408144,-0.12063534715302332,-0.05563715148019509,NA,7,-57157.85896416703,114329.723108483,11.97655702366319,0.000856916821453545
4.3054076146226485,-0.0868741546393568,-0.007872759418273631,NA,-0.028563587912512997,-0.12052177602059096,NA,NA,7,-57157.948300599106,114329.90178134714,12.155229887808673,0.000783682860622943
4.283989233125718,NA,-0.007422968286465046,NA,NA,-0.1208061105841125,-0.024316367399023847,NA,6,-57159.240978558635,114330.48584204928,12.739290589946904,0.000585211940417209
4.332345729319635,-0.07417255677834705,-0.0077055198331274655,3.5531087802089623e-5,-0.054711632701035406,-0.12051648156573656,-0.04812607344755306,NA,9,-57156.5228006869,114331.05392738333,13.307375923992367,0.000440509233211424
4.292536122421751,-0.05602494274508184,-0.007472056294508608,NA,NA,-0.12076649132741636,-0.014257552833075048,NA,7,-57158.560022290534,114331.12522473,13.378673270664876,0.000425082272512742
4.279711641447836,NA,-0.007745735691501818,NA,-0.01330263232938071,-0.12064392982463842,NA,NA,6,-57159.57970479992,114331.16329453186,13.416743072521058,0.00041706739675154
4.288997474106692,-0.06558024755868302,-0.007594791943859261,3.8013850528774475e-5,NA,-0.12071223532452313,NA,NA,7,-57158.72609157548,114331.4573632999,13.710811840559472,0.000360039391978105
4.274301092987756,NA,-0.0076276168146102025,2.347257038812487e-5,NA,-0.12071949471726362,NA,NA,6,-57159.75282657564,114331.5095380833,13.762986623958568,0.000350768357663241
