rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),18.79720728335453,4.116847355756555,4.565922818845967,10.780757418628959,26.813874599852447,meso
elevation_change,-15.88262017351893,6.333669177207769,-2.507649157091098,-28.003884804633998,-3.745796979848997,meso
veg_foliage,-11.987892351448513,1.9799726478489408,-6.054574725803542,-15.781087659955382,-7.907714751130364,meso
snowdepth,-1.4768491451400227,1.6492220981462837,-0.89548226815538845,-4.718123832062845,1.7409094237233327,meso
n_seasons,1.6095413111332675,4.727404224688173,0.3404704219553883,-7.633154867880922,10.780021304487226,meso
.sig01,NA,NA,NA,5.218635717733111,8.831568985255476,meso
.sigma,NA,NA,NA,4.856464893056895,5.517082403214257,meso
