(Intercept),elevation_change,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
27.715182919128743,-16.408082442803625,7.11890605560138,20.66582544715703,-18.669199284818582,7,-193.21197335425018,402.12091640547004,0,0.856904693630463
30.754274176851432,-18.035630962255457,NA,20.589598753019708,-19.744384109457094,6,-196.74268255676097,406.7390964568055,4.618180051335457,0.0851348676640358
22.49628563893529,NA,9.554842425522015,20.726986954249302,-19.167498147745174,6,-197.45896283402678,408.1716570113371,6.050740605867077,0.0415940197190943
29.77722391532322,-16.73351371670278,6.677595236081786,NA,-20.782435399323624,6,-198.76325958211737,410.7802505075183,8.659334102048263,0.0112870906475771
25.9347059612644,NA,NA,20.613241659883386,-20.657779961453805,5,-201.15959358716202,413.2015401155005,11.080623710030466,0.00336361015513538
32.6181787028195,-18.270243208820254,NA,NA,-21.769386809357126,5,-202.28634760545341,415.4550481520833,13.334131746613252,0.00109009061935424
24.454475483350663,NA,9.167794249856554,NA,-21.291609087178948,5,-203.02590809158926,416.934169124355,14.81325271888494,0.000520326043934077
9.890212761333567,-21.55847444660393,28.746319734319894,30.784214202316253,NA,6,-203.96006560907807,421.1738625614397,19.052946155969664,6.24651564267814e-05
27.746342836805116,NA,NA,NA,-22.70899280872817,4,-206.70755765980843,421.9948254645444,19.87390905907438,4.14350629090748e-05
2.3304999263098227,NA,32.5342078046382,31.60153312116857,NA,5,-209.16486467302934,429.21208228723515,27.091165881765107,1.12243343837408e-06
19.531001006041418,-31.407873852050738,NA,32.64728780597151,NA,5,-211.22345341638325,433.32925977394297,31.208343368472924,1.43260632588237e-07
10.050006306136865,-23.242098345778988,31.902999128390714,NA,NA,5,-211.31007390403383,433.5025007492441,31.38158434377408,1.31373589039334e-07
9.902739820842132,NA,NA,32.948243348264015,NA,4,-216.55909506934574,441.69790028361905,39.57698387814901,2.18222570595488e-09
1.8657288787772217,NA,36.061630043311155,NA,NA,4,-216.71403872959928,442.0077876041261,39.88687119865608,1.86899651109803e-09
20.711004837400584,-34.07087520726649,NA,NA,NA,4,-219.05577662147232,446.6912633878722,44.57034698240216,1.79723408360582e-10
10.268572596952788,NA,NA,NA,NA,3,-224.4634794680778,455.26981607901274,53.1488996735427,2.46487896110555e-12
