"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"120",120,20.6671130952381,28.7,14.2,7.90364583333333,11,5.8,18.1991021825397,33.78,4.3,8.79444970161978,19.888,-1.213
"121",121,20.7552976190476,29.2,13.4,8.74270833333333,12.1,5.9,18.6352876984127,34.18,5.69,10.1362445652174,21.079,0.218
"122",122,21.0469642857143,29.4,15.3,8.90833333333333,12.2,6,19.2448908730159,33.16,8.42,9.10124435208866,19.199,0.522
"123",123,21.5238095238095,29.3,14.2,9.3140625,12.2,6.4,21.7351488095238,34.92,10.05,9.79441911764706,20.484,3.301
"124",124,22.0446428571429,30.8,13.21,9.05677083333333,11,7.3,23.1099305555556,36.47,11.18,9.74659590792839,22.18,3.801
"125",125,22.2967261904762,32,12.56,9.10520833333333,11.4,7.4,24.1049007936508,37.43,10.88,10.986683716965,24,3.906
"126",126,22.59,31.9,13.3,9.73541666666667,11.9,7.5,22.8575744047619,34.6,11.81,11.3714287084399,19.389,3.3
"127",127,22.7795535714286,32.5,14.06,9.12864583333333,10.6,6.9,20.9118601190476,34.52,9.58,7.42062382779199,18.68,1.344
"128",128,22.5701785714286,32,14.5,8.55677083333333,9.8,7.1,20.1236706349206,33.26,8.37,4.98962872975277,15.41,-1.413
"129",129,22.4256547619048,33,13.9,7.6890625,9.1,6.2,19.7825297619048,32.25,7.22,4.01096334185848,16.32,-1.613
"130",130,21.9140178571429,31.9,14.15,7.83854166666667,9.6,5.6,18.7273859126984,31.51,8.44,7.05949062233589,18.105,-0.73
"131",131,21.879494047619,31.3,14.79,8.74791666666667,10.6,6.8,19.9136557539683,31.92,8.27,10.8214328644501,17.344,2.26
"132",132,22.6284179104478,30.6,16.99,9.24479166666667,11.3,7.9,20.8942261904762,35.45,7.95,10.872735400682,19.65,1.344
"133",133,23.7743154761905,32.5,18.3,9.83489583333333,12.2,7.1,23.6733928571429,38.03,12.58,12.896564258312,22.345,4.402
"134",134,24.4026785714286,32.8,19.4,10.4609375,13,8.5,23.9209920634921,37.84,14.15,13.1482303921569,22.537,4.063
"135",135,24.68,33.9,19.62,9.81458333333333,12.9,6.8,23.6751488095238,35.8,11.1,9.96259409633419,22.42,2.289
"136",136,24.7590476190476,34.4,18.81,8.26145833333333,12.3,4.1,23.7511954365079,38.62,7.64,7.97824978687127,22.23,0.024
"137",137,24.7967857142857,34.7,18.55,8.29427083333333,11.8,4.1,23.6679166666667,39.12,10.52,9.56686008098892,23.42,-0.12
"138",138,24.5734821428571,34.7,19.1,9.03489583333333,11.4,6.1,22.5635367063492,37.34,10.05,10.3448836317136,23.14,4.69
"139",139,24.4850892857143,34.4,18.2,8.91927083333333,10.8,6.3,21.516001984127,35.85,8.59,8.4256153026428,20.222,2.45
"140",140,24.8601785714286,35.6,17.3,9.1234375,11,6.8,23.3464682539683,34.23,9.76,10.6174080349531,20.079,5.128
"141",141,25.6787797619048,36.3,19.4,9.56041666666667,11.9,7.6,24.6942807539683,38.37,14.22,11.1313492114237,23.14,5.282
"142",142,26.2013988095238,36.1,20.7,9.37708333333333,11.6,6.8,23.930744047619,40.03,11.76,9.12776374680307,24.58,2.45
"143",143,26.3528273809524,36.3,20.9,9.15572916666667,11.6,6.5,22.231626984127,38.73,9.11,8.42957715260017,24.48,-0.395
"144",144,25.8330357142857,35.7,19.4,9.284375,11.7,6.7,21.2048759920635,36.55,6.86,9.09943574168798,23.38,2.209
"145",145,26.3434523809524,35.7,19.5,9.44479166666667,11.6,7.1,23.3502281746032,35.53,12.17,10.0869153878943,21.32,4.35
"146",146,27.0852678571429,35.8,20.6,9.93489583333333,11.7,7.8,24.9320138888889,34.89,14.53,11.3545336743393,20.412,4.298
"147",147,27.4366964285714,36.9,21.8,9.95833333333333,11.1,8.8,24.6862400793651,38.95,10.61,10.2126153026428,23.521,0.024
"148",148,27.6677678571429,37.7,21.5,10.4125,12.4,8.7,25.5227182539683,38.62,11.66,12.7195388959932,24.823,1.43
"149",149,27.8585714285714,37.5,22,11.2213541666667,13.4,9.4,25.1956746031746,37.01,14.65,14.3632192028986,22.71,5.44
"150",150,27.8364285714286,37.7,22.2,11.9291666666667,14.3,10,25.9357886904762,39.4,10.61,15.588558397272,22.896,7.015
"151",151,28.3832738095238,38,21.5,12.61875,15.2,10.7,27.4958234126984,38.62,15.6,15.8446246803069,24.508,7.569
"152",152,29.0084523809524,38,24.1,12.9005208333333,15.6,10.6,27.955818452381,41.09,18.27,15.8357545822677,25.21,8.22
