"","julian","low_soil_mean","low_soil_max","low_soil_min","mid_soil_mean","mid_soil_max","mid_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_ground_mean","low_ground_max","low_ground_min","mid_ground_mean","mid_ground_max","mid_ground_min","high_ground_mean","high_ground_max","high_ground_min","low_air_mean","low_air_max","low_air_min","mid_air_mean","mid_air_max","mid_air_min","high_air_mean","high_air_max","high_air_min"
"21",21,6.27466666666667,7.587,4.105,3.47638194444444,6.263,1.096,NA,NA,NA,6.27079027777778,8.195,3.7232,3.52236493055556,8.3305,0.60075,NA,NA,NA,10.5168277777778,18.2022,7.2378,5.39588097569444,12.2758,-1.3663,-2.74222389784946,2.8967,-8.42
"22",22,6.20167832167832,7.813,4.026,3.25201388888889,6.476,0.917,NA,NA,NA,6.17603006993007,8.5315,3.4678,3.23486006944444,7.6337,0.2255,NA,NA,NA,10.6140444444444,17.9932,2.1481,4.68269981944444,10.9118,-6.9547,-2.49986067777778,5.0254,-9.81
"23",23,5.50935,7.415,1.897,3.33680902777778,7.28,0.925,NA,NA,NA,5.4551395,7.8358,1.62,3.46419131944444,9.0853,0.197,NA,NA,NA,10.5799699497487,16.6382,0.58519,3.54619862152778,13.8497,-7.972,-2.88576962416667,3.6595,-9.6474
"24",24,5.48970142180095,7.272,1.374,3.24436805555556,7.662,0.951,NA,NA,NA,5.39387014218009,7.5813,0.915,3.21905260416667,10.285,-0.547,NA,NA,NA,9.36440283018868,17.0793,1.2371,2.80609899305556,16.4726,-8.2364,-4.63506743333333,0.036258,-10.5
"25",25,6.35840145985401,7.599,4.381,2.83906944444444,7.486,0.4,NA,NA,NA,6.36915401459854,8.1208,3.5655,3.02149131944444,9.5215,-0.15175,NA,NA,NA,10.7148717391304,17.9804,1.6425,2.69467522569444,11.8026,-7.2172,-4.58181663551402,4.7685,-12.67
"26",26,5.74702234636872,8.02,2.297,2.71553819444444,6.379,0.524,NA,NA,NA,5.80616089385475,8.745,2.1158,2.88905833333333,7.7865,0.06725,NA,NA,NA,8.69416117977528,19.8374,-3.5545,2.80538856944444,8.2873,-7.3395,1.78931427083333,9.7605,-4.4967
"27",27,5.70059550561798,8.09,2.498,2.66939930555556,6.077,0.94,NA,NA,NA,5.77265505617977,8.795,2.464,2.77955017361111,8.298,-0.2455,NA,NA,NA,7.96014,19.715,-1.2441,3.61894976041667,10.244,-2.4132,2.85692944036697,9.6661,-8.56
"28",28,5.86575862068965,8.09,2.678,2.67492013888889,5.615,1.036,NA,NA,NA,5.95546513409962,8.6375,2.5483,2.72086510416667,6.479,0.039,NA,NA,NA,7.23542710344828,14.354,-1.5706,4.44478586805556,9.1804,-0.14496,2.09701094827586,8.0397,-9.77
"29",29,5.72795416666667,7.881,2.786,2.87081944444444,6.418,1.065,NA,NA,NA,5.75005083333333,8.098,2.5622,2.89620885416667,7.9017,0.00725,NA,NA,NA,8.2402625,13.3717,2.5725,6.39925803819444,11.2559,-0.72267,4.54336266666667,9.0146,-0.61
"30",30,5.76752434456929,8.37,2.821,3.09671875,7.163,1.083,NA,NA,NA,5.85371235955056,8.9875,2.631,3.08212170138889,8.6052,-0.54525,NA,NA,NA,9.50442835205993,15.578,-1.2592,6.49188545138889,11.7841,-0.99735,4.42025333333333,8.95,1.0739
"31",31,6.07522988505747,8.12,2.816,3.29292013888889,7.263,1.091,NA,NA,NA,6.1897275862069,8.55,2.451,3.13049982638889,8.4337,-0.1505,NA,NA,NA,8.95345042145594,16.5146,0.52624,5.419775971875,15.8822,-1.9025,2.455183675,9.19,-4.2824
"32",32,5.76220952380952,8.08,2.84,3.37724652777778,7.529,0.814,NA,NA,NA,5.78938666666667,8.756,2.345,3.21341267361111,9.697,-0.257,NA,NA,NA,8.49322830188679,16.3214,1.3282,6.34481694236111,15.7929,-0.24812,0.514350408602151,9.43,-5.8303
"33",33,5.531765625,7.892,2.913,3.47724652777778,7.497,0.789,NA,NA,NA,5.4746515625,8.3663,2.3035,3.40065989583333,9.2858,-0.255,NA,NA,NA,10.1069442708333,16.7914,5.4301,5.95805965277778,14.6366,-7.2238,0.372088194444444,7.56,-4.1494
"34",34,5.61611818181818,8.25,3.022,3.50517361111111,7.254,0.789,NA,NA,NA,5.53650272727273,8.7035,2.1732,3.38902100694444,9.0373,-0.49275,NA,NA,NA,8.91550383561644,16.305,-0.23572,3.48421612847222,14.5062,-8.2295,0.59918375,7.8396,-5.96
"35",35,5.6457558685446,8.49,3.216,3.09076041666667,6.962,0.823,NA,NA,NA,5.41317230046948,9.04,1.8142,3.07063229166667,8.0388,-0.77575,NA,NA,NA,7.59054255868545,17.9908,-1.1182,1.52723489618056,13.2145,-8.8895,0.583194722222222,7.1261,-3.4137
"36",36,5.61972850678733,8.84,3.651,3.28126736111111,6.675,0.874,NA,NA,NA,5.43987737556561,9.5575,2.8085,3.29249375,7.7658,0.00975,NA,NA,NA,7.40369114545455,21.5844,-1.6654,2.68617017361111,12.2138,-8.1954,-2.33432214141414,2.1135,-6.212
"37",37,5.54388014981273,9.06,3.494,3.32685416666667,6.672,0.942,NA,NA,NA,5.45169063670412,9.7075,3.2087,3.25889149305556,7.7203,-1.0837,NA,NA,NA,8.57272079545455,20.616,0.28529,3.09157895833333,12.5013,-4.79,-0.918880953333333,2.9561,-4.7399
"38",38,5.63503125,9.24,3.362,3.29901041666667,5.765,0.965,NA,NA,NA,5.56783576388889,9.9425,2.2782,3.25433333333333,7.4945,-0.02325,NA,NA,NA,7.93836193055556,18.6035,0.054744,3.36057169965278,12.293,-5.559,0.760909733333333,7.2202,-6.18
"39",39,5.90412307692308,9.28,3.323,3.42117708333333,6.694,1.007,NA,NA,NA,5.86635076923077,9.765,2.5438,3.53364809027778,8.2408,-0.73925,NA,NA,NA,8.13628735632184,17.4191,1.9473,6.14076298611111,15.2867,-5.765,2.48591140186916,11.6461,-4.28
"40",40,6.4839,9.94,3.899,3.87212152777778,7.468,1.062,NA,NA,NA,6.40733791666667,10.255,2.8435,3.89103090277778,9.059,-0.27675,NA,NA,NA,8.32906172916667,17.6944,-2.1025,6.48724673611111,13.0179,-7.9562,4.88150434782609,13.1471,-3.1033
"41",41,6.63539330543933,9.89,4.348,3.9044375,8.19,1.096,NA,NA,NA,6.60233891213389,10.1825,3.5972,4.09202152777778,10.4425,0.50675,NA,NA,NA,9.68414157916667,21.2015,-2.7509,5.40191086458333,14.4371,-4.5018,7.91304312,12.4293,-0.80044
"42",42,6.6629375,9.31,3.939,3.89184375,8.34,1.096,NA,NA,NA,6.6347625,9.2675,3.3082,3.9031765625,10.4525,0.00925,NA,NA,NA,8.99462863333333,19.7711,-2.4629,4.04293454166667,14.2388,-9.3988,6.34734270833333,12.1409,1.9426
"43",43,6.96412916666667,8.91,3.919,3.82799652777778,8.42,1.091,NA,NA,NA,6.95033333333333,9.225,3.6045,3.90084583333333,9.8495,0.50325,NA,NA,NA,8.97528758333333,21.7727,-2.1983,4.29135840277778,12.0441,-10.3776,3.69805869791667,11.2202,-4.4229
"44",44,6.84585416666667,9.17,3.557,3.88076736111111,8.47,1.105,NA,NA,NA,6.79948541666667,9.5375,3.1397,3.99827829861111,10.584,0.245,NA,NA,NA,9.71891945833333,18.9224,0.36265,5.67216543055556,12.428,-3.0483,1.36544587155963,10.145,-7.2843
"45",45,6.673944,9.49,3.704,3.92628125,8.3,1.088,NA,NA,NA,6.5871708,9.9225,3.2092,3.97507847222222,10.245,-0.102,NA,NA,NA,10.4942312,21.2159,2.215,4.92386473819444,12.6981,-9.1487,0.499869166666667,8.9214,-10.9673
"46",46,6.71294402985075,9.76,4.012,3.91562847222222,8.54,1.036,NA,NA,NA,6.64425858208955,10.0675,3.4987,4.0026671875,9.8975,-0.14175,NA,NA,NA,10.3849432434457,19.153,-1.8195,6.60780694444444,12.5988,-9.3454,0.151939166666667,9.6454,-11.2092
"47",47,7.04608076923077,9.74,4.591,4.03429513888889,8.53,0.977,NA,NA,NA,7.01747653846154,9.965,3.8357,4.13299079861111,10.855,0.40075,NA,NA,NA,12.1021022605364,18.6781,0.06033,6.58821979166667,12.324,-6.9995,1.617735,11.5463,-10.1736
"48",48,7.61770416666667,9.85,5.151,4.35750347222222,8.15,0.943,NA,NA,NA,7.64007791666667,10.1575,4.7368,4.33418333333333,10.94,-0.1915,NA,NA,NA,13.50570625,21.1119,6.5495,7.72640267361111,13.1464,-3.4798,1.97418408333333,11.7813,-10.1919
"49",49,7.33031950207469,9.76,3.561,4.53931944444444,7.743,0.912,NA,NA,NA,7.31233319502075,10.0625,3.3533,4.6005015625,10.6975,0.28225,NA,NA,NA,10.93719125,19.6943,1.7487,7.05195520833333,14.9722,-5.1078,2.0204962825,11.2476,-4.29
"50",50,6.91136966824645,9.69,3.889,3.98984722222222,7.462,0.89,NA,NA,NA,6.74694928909953,9.8875,3.3513,3.97569704861111,9.3555,-0.3085,NA,NA,NA,8.73891273584906,17.853,3.8048,3.43930815972222,14.8077,-4.8846,-2.10887332773109,4.4805,-8.179
