"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"225",225,NA,NA,NA,NA,NA,NA,18.5072359775641,36.37,6.438,20.6104046474359,32.22,9.66
"226",226,NA,NA,NA,NA,NA,NA,18.467015224359,39.8,5.523,20.5669991987179,34.35,8.52
"227",227,NA,NA,NA,NA,NA,NA,19.050483974359,36.09,6.48,21.7479206730769,32.1,15.04
"228",228,NA,NA,NA,NA,NA,NA,20.0546193910256,35.73,6.958,23.0218509615385,31.11,16.17
"229",229,NA,NA,NA,NA,NA,NA,20.025577323718,36.66,6.282,24.0633733974359,32.17,15.86
"230",230,NA,NA,NA,NA,NA,NA,20.5728725961538,36.56,6.663,25.1078084935897,31.55,16.21
"231",231,NA,NA,NA,NA,NA,NA,20.006921474359,36.62,6.969,24.2549759615385,30.9,17.52
"232",232,NA,NA,NA,NA,NA,NA,19.4069627403846,33.81,6.835,23.1618269230769,30.94,16.1
"233",233,NA,NA,NA,NA,NA,NA,18.119030849359,35.39,6.838,22.1641947115385,31.44,11.08
"234",234,NA,NA,NA,NA,NA,NA,17.6719014423077,32.32,6.404,20.8322275641026,27.35,11.17
"235",235,NA,NA,NA,NA,NA,NA,18.1137772435897,34.23,5.591,21.3305809294872,28.81,14.79
"236",236,NA,NA,NA,NA,NA,NA,17.7951730769231,37.09,6.07,20.5650560897436,31.91,11.66
"237",237,NA,NA,NA,NA,NA,NA,17.7118024839744,39.36,5.341,20.5546113782051,34.33,10.24
"238",238,NA,NA,NA,NA,NA,NA,18.0560584935897,36.31,5.249,20.8497075320513,31.03,10.14
"239",239,NA,NA,NA,NA,NA,NA,17.6887820512821,38.03,4.429,20.7229218436874,33.25,8.59
"240",240,NA,NA,NA,NA,NA,NA,18.4508617788462,38.65,6.221,20.4460296474359,33.94,4.666
"241",241,NA,NA,NA,NA,NA,NA,17.3289499198718,35.53,3.91,18.6899695512821,30.98,7.499
"242",242,NA,NA,NA,NA,NA,NA,16.5496582532051,32.07,4.19,18.231641025641,25.99,6.988
"243",243,NA,NA,NA,NA,NA,NA,17.2370893429487,36.89,5.591,19.5163020833333,31.15,11.18
"244",244,NA,NA,NA,NA,NA,NA,17.6815877403846,40.45,4.952,20.4683854166667,35.88,11.06
"245",245,NA,NA,NA,NA,NA,NA,18.2313024839744,41.38,5.903,20.9828565705128,34.39,9.34
"246",246,NA,NA,NA,NA,NA,NA,17.9135580929487,40.32,5.536,20.4920833333333,32.84,6.77
"247",247,NA,NA,NA,NA,NA,NA,17.0383557692308,34.35,3.403,19.6379695512821,31.93,6.476
"248",248,NA,NA,NA,NA,NA,NA,16.0497948717949,31.91,2.197,18.1681602564103,28.24,7.083
"249",249,NA,NA,NA,NA,NA,NA,16.8981181891026,33.99,3.976,19.7348573717949,28.07,6.469
"250",250,NA,NA,NA,NA,NA,NA,16.9265789262821,33.12,3.061,19.5391682692308,28.4,7.808
"251",251,NA,NA,NA,NA,NA,NA,17.283702724359,36.01,2.562,20.8750488782051,29.95,5.757
