rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),11.097837967966809,1.5032135164246538,7.382742269616274,8.206592068908886,13.966932639477307,meso
elevation_change,-14.795435034514824,4.968597311741446,-2.977789123612669,-24.33415559534927,-5.295904602013,meso
veg_foliage,-7.296264616416554,1.659684144411831,-4.396176610461172,-10.526076472998831,-4.135441544634617,meso
snowdepth,-4.468010272690329,1.3837741638150705,-3.2288579954202987,-7.314537310092307,-1.8303074556130956,meso
.sig01,NA,NA,NA,1.6810004292952807,3.999329533090116,meso
.sigma,NA,NA,NA,2.7294276426910584,3.4710200445379633,meso
