rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),4.79506652298069,0.26059889874767644,18.400179532698214,4.295014989881077,5.290005906878511,meso
elevation_change,-3.237777041484449,0.8599126562819419,-3.76523943197188,-4.890749805603583,-1.6046544334797939,meso
veg_foliage,-0.789697808535271,0.31514925772973434,-2.50578984137256,-1.4248829850436238,-0.18840624936911624,meso
snowdepth,-0.09867494140923838,0.2733126527037693,-0.36103319927960853,-0.637607037125,0.4283326107706712,meso
.sig01,NA,NA,NA,0.2644875708676562,0.6774187022869674,meso
.sigma,NA,NA,NA,0.5445805061650202,0.6928060297274223,meso
