(Intercept),elevation_change,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
4.780833763376436,-3.2544718838512168,NA,NA,-0.7707085308080123,5,-149.07308176138596,308.57169543766554,0,0.372161351296556
4.691023374779012,-3.192827164947873,0.11460308870572078,NA,-0.7402796375716674,6,-148.43171163846586,309.46342327693174,0.8917278392661956,0.238284081267638
4.795066522980737,-3.2377770414845335,NA,-0.09867494140924635,-0.7896978085353169,6,-149.38758628397395,311.3751725679479,2.803477130282374,0.0916144431113311
4.605601076977105,-3.7060851387796365,NA,NA,NA,4,-151.55904961545667,311.3997893717584,2.8280939340928626,0.0904937269861395
4.1132957412777555,-3.228044462592824,0.6745616428706569,NA,NA,5,-150.50196023525118,311.42945238539596,2.8577569477304223,0.0891614727478375
4.659497041284553,-3.1357341944269828,0.17677206231646045,-0.10973382266179418,-0.7525816382425107,7,-148.70956643855288,312.2248882727892,3.6531928351236616,0.0599032692872382
4.091796552901262,-3.198346593403479,0.7119263334383931,-0.057493808477326595,NA,6,-150.83306158682794,314.2661231736559,5.6944277359903595,0.0215874824884786
4.606092684132219,-3.7057737548830305,NA,-0.004964210092951126,NA,5,-151.935950111067,314.2974321370276,5.7257366993620735,0.0212521730346987
3.1883882619128476,NA,1.3531106359174838,NA,-0.669435978513898,5,-153.22529653117613,316.87612497724587,8.304429539580326,0.0058539270726088
2.6419964822551036,NA,1.883925616724596,NA,NA,4,-154.8165975616326,317.91488526411024,9.3431898264447,0.0034824378740965
3.998627331690752,NA,NA,NA,-0.8355733936052722,4,-155.21211006193127,318.7059102647076,10.134214827042058,0.00234484684099939
3.1831066173193174,NA,1.4134019564038498,-0.17186115756308923,-0.6916523585028876,6,-153.3946863047215,319.389372609443,10.817677171777461,0.00166610557884191
2.6261355106950175,NA,1.937138133633582,-0.11797380597364257,NA,5,-155.08194249616366,320.58941690722094,12.017721469555397,0.000914357876394253
4.018783804703696,NA,NA,-0.11052252229042389,-0.8553751455868587,5,-155.49211298877918,321.409757892452,12.838062454786439,0.000606710384924421
3.6795379820011704,NA,NA,NA,NA,3,-157.7349531821734,321.63773853217896,13.066043094513418,0.00054134740815674
3.6829791736277664,NA,NA,-0.02996264172384183,NA,4,-158.0872647557967,324.45621965243845,15.88452421477291,0.000132266744060242
