rowname,estimate,SE,Adjusted SE,z value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),4.671722616005261,0.5002368982935557,0.5039355716936852,9.270475986253546,0,3.684027044957036,5.659418187053486,global
elevation_change,-3.270593743839101,0.9631716251084569,0.9712853211498088,3.3672842290742824,7.591e-4,-5.174277992005146,-1.3669094956730559,global
veg_foliage,-0.6166560054431379,0.4160166693211276,0.41774691763466654,1.4761473500144984,0.1399043,-1.3967303766389678,-0.12737117848558588,global
latitude,0.1041209809088883,0.5370180681461615,0.5410610443272875,0.19243850948157631,0.8473987,-1.355895298147098,1.862117182884866,global
snowdepth,-0.016581521189572117,0.11707125623633288,0.1179814545957471,0.14054345444703334,0.8882306,-0.6490106604867895,0.44291641199381576,global
