rowname,estimate,SE,t value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),-1.675483758023708,0.0023955775251561463,-699.4070283383954,0,-2.415281070761711,-1.0545734971518013,macro
latitude,0.24884883903478278,0.002397782159041774,103.78292210424581,0,-1.0682755343777328,1.3888474541058697,macro
n_days,0.7326606624017572,0.002398506643776484,305.46534624068096,0,-0.32371641364441184,1.8294511909149478,macro
.sig01,NA,NA,NA,NA,0.3772589426011908,0.8503585597076253,macro
.sigma,NA,NA,NA,NA,1.198951847703139,1.4364125745375618,macro
