rowname,estimate,SE,t value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),-1.7852387707151662,0.31149998205707247,-5.7311039279227884,9.97791048219861e-9,-2.5672077127600508,-1.178302637753949,micro
height,0.7198292007645692,0.1707753088364681,4.215066016679653,2.4970513476328642e-5,0.15163267196844882,1.3725974231763487,micro
n_days,0.891534834245055,0.4360023902882803,2.0447934555028042,0.04087522525310666,-0.05334570456255142,1.9264273600526698,micro
.sig01,NA,NA,NA,NA,0.4568492367017637,0.9277713337641721,micro
.sigma,NA,NA,NA,NA,1.2050981672108916,1.415601296184979,micro
