(Intercept),elevation_change,height,latitude,n_seasons,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.653293077115315,-0.683335149991602,0.2109395751955381,NA,NA,-0.21358171688560953,-0.19807521964592018,7,268.9686399362327,-523.7132798724654,0,0.805620655718387
0.5812483903960772,-0.6915796483686624,0.21211468537356554,NA,0.09496945832526797,-0.2146552370512151,-0.18327647456086815,8,268.0340597654709,-519.7795423766331,3.933737495832247,0.112701669356388
0.6657159126845079,-0.6895072917528935,0.21076074219196325,-0.02134490338316715,NA,-0.21223037489613777,-0.20198355330212373,8,267.5211963216255,-518.7538154889423,4.959464383523027,0.0674833424888579
0.60189791037537,-0.7117964948523003,0.2116979447207164,-0.06412279816944448,0.11702810598996734,-0.2112499288171613,-0.1918520251765837,9,266.835526591741,-515.3096074003494,8.403672472116,0.0120585836830303
0.572338094459057,-0.6922133166801901,0.20510509578619832,NA,NA,-0.19552570454251605,NA,6,261.1689836180265,-510.17030256539437,13.542977307070998,0.00092323112246002
0.43262770541808115,-0.707866982156935,0.20746776600597536,NA,0.20094397669659925,-0.20015895541466844,NA,7,262.1296227756206,-510.0352455512412,13.678034321224175,0.000862945122305497
0.513018664952126,-0.6582224538927718,0.20672894918118118,0.11736866224444996,NA,-0.2025951916689267,NA,7,260.50807464546773,-506.79214929093547,16.921130581529894,0.000170511538591922
0.4247345061260215,-0.6950009589114238,0.2079850859000782,0.04003274800397709,0.1832615622241879,-0.20228831646294848,NA,8,260.7946978474569,-505.30081854060523,18.41246133186013,8.08938332466625e-05
0.47638550475606345,NA,0.21073680835687997,NA,NA,-0.2125252073861237,-0.20311295715420524,6,258.2083554736839,-504.2490462767092,19.464233595756184,4.78107955510821e-05
0.6322335542071156,-0.7035684149378194,0.21205804429453926,NA,NA,NA,-0.17646706648806634,6,257.70506885621455,-503.24247304177044,20.470806830694926,2.89035621375397e-05
0.4395785541391652,NA,0.21133550626480613,0.07726037520464407,NA,-0.2143455150190367,-0.19459519660597094,7,257.23002473620727,-500.23604947241455,23.477230400050814,6.42857605382859e-06
0.4497095523646096,NA,0.21105873423497717,NA,0.03549441930333857,-0.212524086807222,-0.19994092206989708,7,257.0864585894044,-499.9489171788088,23.76436269365655,5.56884077782099e-06
0.5685925928299012,-0.7110440920348748,0.21309115122454145,NA,0.08417489244097918,NA,-0.16387122765321346,7,256.6570681525587,-499.09013630511737,24.623143567347995,3.624790438442e-06
0.6767364579844952,-0.724849554949902,0.2112259051605966,-0.0764975614159724,NA,NA,-0.19017068105528984,7,256.59459303456634,-498.9651860691327,24.748093803332665,3.40526021649049e-06
0.435983756759107,NA,0.21141781012227875,0.07433716644365976,0.00677487349146935,-0.21398975745783516,-0.19455707760907437,8,256.15036850903476,-496.0121598637609,27.701120008704436,7.77873204639454e-07
0.606850556657092,-0.7493540271319912,0.21224361872700404,-0.12367378441289653,0.128825753096301,NA,-0.17957550414907078,8,256.0335643493616,-495.7785515444146,27.934728328050767,6.92120016744396e-07
0.5609649118020855,-0.7097793225318313,0.20653678021709665,NA,NA,NA,NA,5,252.29647563213783,-494.47342935192506,29.2398505205403,3.60394144701712e-07
0.435182370080128,-0.7244981001411148,0.20898273462508674,NA,0.180680440616387,NA,NA,6,252.7134692484512,-493.2592738262437,30.45400604622165,1.96393542508639e-07
0.39100811767981775,NA,0.20737658733326933,NA,NA,-0.1982428849628711,NA,5,251.68015996764169,-493.2407980229328,30.472481849532585,1.94587632529404e-07
0.3020853526729157,NA,0.20896477650296813,0.20674992935383077,NA,-0.2052576959145909,NA,6,251.9185958031736,-491.6695269356885,32.043752936776855,8.86988630065837e-08
0.2846507724893581,NA,0.20856300051909768,NA,0.14895514340721086,-0.2000534301316635,NA,6,251.2195288875785,-490.2713931044983,33.44188676796705,4.40876701631347e-08
0.5321504731616251,-0.6938224058524851,0.20751809819411107,0.056727224435836436,NA,NA,NA,6,251.03930097521817,-489.91093727977767,33.802342592687694,3.68167256346757e-08
0.44059840145078827,-0.7321744517816429,0.20886199563177035,-0.02357290668674254,0.19026722651522276,NA,NA,7,251.3521888748559,-488.4803777497118,35.23290212275356,1.80054137727822e-08
0.26086791842038765,NA,0.20943639502871603,0.17624565563072747,0.07609717618404166,-0.20501618506633582,NA,7,250.9967795384136,-487.7695590768272,35.94372079563817,1.2619751189998e-08
0.4507472438693273,NA,0.21130726986155626,NA,NA,NA,-0.1829073697290699,5,247.33234178605693,-484.54516165976327,39.1681182127021,2.51699173595379e-09
0.6740232587207006,-0.6714082434432245,NA,NA,NA,-0.21610952933403818,-0.18038087993432125,6,246.4527968049458,-480.7379289392329,42.97535093323245,3.75104011522703e-10
0.4331056297458511,NA,0.21152566816119997,NA,0.023563197668236127,NA,-0.18093387723807158,6,246.22746790797416,-480.28727114528965,43.42600872717571,2.9942813971738e-10
0.43732146713556885,NA,0.21155224021939237,0.028247766013955518,NA,NA,-0.17994677514683874,6,246.22198486664487,-480.2763050626311,43.43697480983428,2.97790855602299e-10
0.3748924459558523,NA,0.20816441505309635,NA,NA,NA,NA,4,242.703850917261,-477.32817897169895,46.38510090076642,6.81920758220082e-11
0.6204255952416037,-0.6775533706425021,NA,NA,0.0706745427292749,-0.2168257159762763,-0.1690915592113246,7,245.27656323831417,-476.32912647662835,47.38415339583702,4.13801840567032e-11
0.4297134396824919,NA,0.2116571376213218,0.02294201032709905,0.013646450709692134,NA,-0.17952490501729884,7,245.19348061587323,-476.16296123174646,47.5503186407189,3.80811533809371e-11
0.6997145220199386,-0.6840112775860431,NA,-0.044011165434416626,NA,-0.21344790676054415,-0.1888684966601398,7,245.1162460370862,-476.0084920741724,47.704787798292955,3.52506834965167e-11
0.30988499488009785,NA,0.20945280084714873,0.15024438307442248,NA,NA,NA,5,242.2606668765326,-474.40181184071463,49.311468031750735,1.57863367351884e-11
0.2834578917753269,NA,0.20925051390564495,NA,0.1278923727114079,NA,NA,5,242.06390927031495,-474.0082966282793,49.70498324418605,1.29667345361872e-11
0.6461402144283644,-0.7027424694964605,NA,-0.07991814468343124,0.09821454012632153,-0.21252154492271996,-0.1800344731190007,8,244.2124580775398,-472.136339000771,51.576940871694376,5.0855764318668e-12
0.5993465147602989,-0.6794106089328376,NA,NA,NA,-0.19905312007667417,NA,5,240.8042299660193,-471.488938019688,52.22434185277734,3.6792461910147e-12
0.26802808267769684,NA,0.20991078633665358,0.11931992530617755,0.07728393060789611,NA,NA,6,241.37634094719482,-470.585017223731,53.12826264873439,2.34139637729096e-12
0.4812016683773045,-0.6925501707965445,NA,NA,0.170363307469292,-0.20370296528140397,NA,6,241.09923557613257,-470.0308064816065,53.68247339085889,1.77471903944053e-12
0.5555394424820685,-0.6540675318562627,NA,0.08706420240576336,NA,-0.20488687613165524,NA,6,239.78438016843842,-467.40109566621817,56.312184206247196,4.76535391423441e-13
0.4779420498311727,-0.6866776995906113,NA,0.01845800229957701,0.1617803704924696,-0.20455412724460834,NA,7,239.70312669883702,-465.18225339767406,58.531026474791304,1.57137443671624e-13
0.5026781296172883,NA,NA,NA,NA,-0.2144053069826832,-0.1916501417448901,5,236.43880214996938,-462.75808238758816,60.9551974848772,4.67603375209088e-14
0.6531542723959518,-0.6918212621865789,NA,NA,NA,NA,-0.15918292714692964,5,236.10924748694885,-462.0989730615471,61.614306810918265,3.36320907062095e-14
0.4781844582851633,NA,NA,0.05136972618043453,NA,-0.21558853179465032,-0.18577569511401482,6,235.3587234991642,-458.54978232766973,65.16349754479563,5.70238965539331e-15
0.49555019789098786,NA,NA,NA,0.009617695662035524,-0.21416983219123434,-0.19098687549231358,6,235.28721499246154,-458.4067653142644,65.30651455820094,5.30885838149484e-15
0.7114038172345568,-0.7196872081693025,NA,-0.10001381548088388,NA,NA,-0.17762152987069213,6,235.22561843017434,-458.28357218969,65.42970768277536,4.99171858251588e-15
0.6087809828537051,-0.6970412134076955,NA,NA,0.05883899448673792,NA,-0.15037293328294293,6,234.87830151291757,-457.5889383551765,66.12434151728888,3.52705532944464e-15
0.5880425087653677,-0.6973908116513453,NA,NA,NA,NA,NA,4,232.47873302262627,-456.8779431824295,66.83533669003589,2.47184726616101e-15
0.6518776266873686,-0.7405329482444476,NA,-0.1401179580967046,0.10963881765505269,NA,-0.16822009591596873,7,234.43438889463812,-454.64477778927625,69.06850208318912,8.09274635362968e-16
0.42156418046753263,NA,NA,NA,NA,-0.20062553245849196,NA,4,231.34008115294975,-454.60063944307643,69.11264042938893,7.91610249489638e-16
0.4845798843064974,-0.7094913592322399,NA,NA,0.14903589796865246,NA,NA,5,232.29483755013428,-454.47015318791796,69.2431266845474,7.41611880251136e-16
0.48568357067849316,NA,NA,0.055129024730589046,-0.012070259088048901,-0.21523047784670746,-0.1869632938109516,7,234.29114732967136,-454.35829465934273,69.35498521312263,7.0127265968549e-16
0.3462523720879038,NA,NA,0.17570224703089257,NA,-0.20729578444859012,NA,5,231.19928075398215,-452.2790395956137,71.43424027685165,2.47960445062218e-16
0.575179067232729,-0.6902433772534419,NA,0.02550383462834445,NA,NA,NA,5,231.074197917858,-452.0288739233654,71.68440594909998,2.18806198922717e-16
0.3362147105693712,NA,NA,NA,0.11973701392727969,-0.2022412008741417,NA,5,230.63548360949096,-451.15144530663133,72.56183456583403,1.41100456371384e-16
0.49446017463162617,-0.7243320260030761,NA,-0.04593942079919949,0.16848936306278806,NA,NA,6,231.0230091049106,-449.87835353916256,73.8349263333028,7.46586364233553e-17
0.31604938818360473,NA,NA,0.1531154214706208,0.055968334501558546,-0.2069564719033305,NA,6,230.20078262696018,-448.2339005832617,75.47937928920368,3.28088970965514e-17
0.47700654041801627,NA,NA,NA,NA,NA,-0.1714965321435731,4,226.51465906640803,-444.949795269993,78.76348460247237,6.35122098114889e-18
0.47949757368959606,NA,NA,NA,-0.0030588609592672907,NA,-0.1721530486842631,5,225.40393356788792,-440.68834522342524,83.02493464904012,7.54214892422581e-19
0.4764148513725336,NA,NA,0.0016135638592271824,NA,NA,-0.17166758912088112,5,225.39097018402703,-440.66241845570346,83.0508614167619,7.44500814952683e-19
0.4053944925114845,NA,NA,NA,NA,NA,NA,3,223.0642630733301,-440.08090709904116,83.63237277342421,5.56662019454872e-19
0.3542736319338663,NA,NA,0.11851804596287689,NA,NA,NA,4,222.35343690597244,-436.6273509491218,87.08592892334354,9.90059741698124e-20
0.48014697820627505,NA,NA,0.003252415689651802,-0.005739996548168544,NA,-0.17240377054058065,6,224.36901578228463,-436.5703668939106,87.14291297855476,9.62249005696135e-20
0.3356216716210434,NA,NA,NA,0.09776501486848548,NA,NA,4,222.2204821069816,-436.3614413511401,87.35183852132525,8.66801922395076e-20
0.3236971032637314,NA,NA,0.0957491864209068,0.056644101187765084,NA,NA,5,221.39890337679293,-432.67828484123527,91.0349950312301,1.37446153914582e-20
