rowname,estimate,SE,Adjusted SE,z value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),0.6359784388133136,0.061084121163400736,0.061181243769012815,10.394990353815349,0,0.5160654044966829,0.7558914731299443,global
elevation_change,-0.6861119319611708,0.11608049804971354,0.11636101654822328,5.896407167230502,0,-0.9141753336001577,-0.45804853032218396,global
height,0.21123650008298145,0.029035932823043523,0.02910624273774809,7.257429342091872,0,0.1541893125917147,0.2682836875742482,global
snowdepth,-0.21377386398056786,0.04046940589308227,0.04056743612247668,5.269592668739667,1e-7,-0.29328457772575134,-0.13426315023538438,global
veg_foliage,-0.19429000611272437,0.044303854259032646,0.04440783246241109,4.375129235978377,1.21e-5,-0.28132775837053875,-0.10725225385491,global
n_months,0.02399599116950875,0.06108639044325438,0.061136665137537675,0.39249754816566373,0.6946906,-0.03381002235138983,0.2874122429671133,global
