(Intercept),elevation_change,height,latitude,n_months,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.653293077115315,-0.683335149991602,0.2109395751955381,NA,NA,-0.21358171688560953,-0.19807521964592018,7,268.9686399362327,-523.7132798724654,0,0.741778306828481
0.5617979875495784,-0.6980083941321301,0.21250860416958156,NA,0.12680111030786176,-0.21459707252610105,-0.17807315866118942,8,268.5459801463324,-520.8033831383561,2.909896734109225,0.173140266258871
0.6657159126845079,-0.6895072917528935,0.21076074219196325,-0.02134490338316715,NA,-0.21223037489613777,-0.20198355330212373,8,267.5211963216255,-518.7538154889423,4.959464383523027,0.0621355462713082
0.5890521291911605,-0.7223875440480996,0.21196130387041176,-0.07572742128220199,0.15043806584088282,-0.21031726422097435,-0.188899183075184,9,267.42380713838,-516.4861684936275,7.22711137883789,0.019995249718064
0.4281941561326103,-0.7156709572261093,0.20755098847973247,NA,0.21927084471080197,-0.19948948018191245,NA,7,262.8907363012191,-511.55747260243817,12.155807270027196,0.00170088173738793
0.572338094459057,-0.6922133166801901,0.20510509578619832,NA,NA,-0.19552570454251605,NA,6,261.1689836180265,-510.17030256539437,13.542977307070998,0.000850068594901
0.513018664952126,-0.6582224538927718,0.20672894918118118,0.11736866224444996,NA,-0.2025951916689267,NA,7,260.50807464546773,-506.79214929093547,16.921130581529894,0.000156999152757136
0.4208874678199886,-0.7055036502282717,0.20802162915746303,0.030847785211822683,0.2067565543728614,-0.2012997696777565,NA,8,261.48858350139005,-506.6885898484715,17.024690023993855,0.000149076662589263
0.47638550475606345,NA,0.21073680835687997,NA,NA,-0.2125252073861237,-0.20311295715420524,6,258.2083554736839,-504.2490462767092,19.464233595756184,4.40219732702603e-05
0.6322335542071156,-0.7035684149378194,0.21205804429453926,NA,NA,NA,-0.17646706648806634,6,257.70506885621455,-503.24247304177044,20.470806830694926,2.66130656302221e-05
0.4395785541391652,NA,0.21133550626480613,0.07726037520464407,NA,-0.2143455150190367,-0.19459519660597094,7,257.23002473620727,-500.23604947241455,23.477230400050814,5.91913604334643e-06
0.5441147018806314,-0.7179628494384285,0.21358917542737813,NA,0.12253779680635388,NA,-0.15780154143408254,7,257.15088780849817,-500.07777561699635,23.635504255469016,5.46876914497355e-06
0.4325468788754647,NA,0.2112418357410417,NA,0.06086680089270441,-0.21257426314525832,-0.19771060753196879,7,257.12713272538565,-500.0302654507713,23.683014421694054,5.34038895748744e-06
0.6767364579844952,-0.724849554949902,0.2112259051605966,-0.0764975614159724,NA,NA,-0.19017068105528984,7,256.59459303456634,-498.9651860691327,24.748093803332665,3.13540639725315e-06
0.5921294970975042,-0.7612633008197789,0.2125664627071677,-0.13689446298399324,0.1670769663263287,NA,-0.17651743000921827,8,256.7248139717602,-497.16105078921186,26.552229083253508,1.27212808807525e-06
0.41847108030316976,NA,0.2115712654892557,0.06284942869383806,0.03896648814364488,-0.21385085407815052,-0.1929383668175772,8,256.1370087724471,-495.98544039058555,27.727839481879812,7.0672472786049e-07
0.42550939241226965,-0.7324426239330465,0.20924093255880974,NA,0.20585719318922588,NA,NA,6,253.50888248628493,-494.8501003019112,28.863179570554166,4.00603112722432e-07
0.5609649118020855,-0.7097793225318313,0.20653678021709665,NA,NA,NA,NA,5,252.29647563213783,-494.47342935192506,29.2398505205403,3.3183429018382e-07
