(Intercept),elevation_change,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
4.150564113936232,-1.3558319557662089,0.49692428546622025,NA,NA,5,-17.48277810284073,45.179079337354054,0,0.805682541134554
4.15945861106733,-1.3770853431894587,0.47228581461908,0.10753156618939272,NA,6,-18.322524308124606,48.94504861624921,3.765969278895156,0.12257280205073
4.18089321659842,-1.3670803893010945,0.469844338151299,NA,-0.03809668533949031,6,-19.020497688458683,50.34099537691736,5.161916039563309,0.0609913332114191
4.187768097633607,-1.3871711173562897,0.44762420110948553,0.10392635452151965,-0.03589763107536695,7,-19.894595126055098,54.19062394386647,9.011544606512416,0.00889880939639456
4.450706705081477,-1.4358925484722893,NA,NA,-0.19949597246936712,5,-24.333493400836147,58.88050993334489,13.701430595990836,0.000852974605590963
4.351245330431899,-1.4016173016689781,NA,NA,NA,4,-25.549611096854985,59.241066165341174,14.06198682798712,0.000712266158977746
4.4458633316894485,-1.45815734381196,NA,0.12498149102824664,-0.19106643312704114,6,-25.016611237342886,62.33322247468577,17.154143137331715,0.000151771106210616
4.350423211720614,-1.4257930954339135,NA,0.13234335766815042,NA,5,-26.158596251216956,62.53071563410651,17.351636296752453,0.00013750041371871
3.7232130352692487,NA,0.549594273634275,NA,NA,4,-38.92648588695562,85.99481574554244,40.815736408188386,1.10443307523848e-09
3.9295833764550157,NA,NA,NA,NA,3,-40.97042731273035,88.02566027917095,42.846580941816896,4.00080253765562e-10
3.773193017485818,NA,0.49978749070512524,NA,-0.06952090701819788,5,-39.924710063024676,90.06294325772195,44.8838639203679,1.44463036508781e-10
3.723094732787289,NA,0.5511915746218453,-0.007456108058461867,NA,5,-40.22723560546506,90.66799434260273,45.48891500524867,1.0675090498474e-10
4.001838658533385,NA,NA,NA,-0.16041486090486132,4,-41.293638389144235,90.72912074991967,45.55004141256562,1.03537609760033e-10
3.9285128208600164,NA,NA,0.016813023074752794,NA,4,-42.263348600848126,92.66854117332745,47.4894618359734,3.92607273167256e-11
3.77304509077929,NA,0.5015507003964456,-0.008144392931568762,-0.06949650902320349,6,-41.22446844536336,94.74893689072671,49.56985755337266,1.38741424958201e-11
4.000984020376525,NA,NA,0.009314136270052327,-0.15983239754417,5,-42.594675626153474,95.40287438397955,50.2237950466255,1.00047312788886e-11
