rowname,estimate,SE,Adjusted SE,z value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),0.6373920268620731,0.05400185917007303,0.05409802911446884,11.78216724889149,0,0.5313618381631149,0.7434222155610313,global
elevation_change,-0.6653140160845294,0.11210626556711424,0.11237225699173295,5.920625196070197,0,-0.8855595926498052,-0.4450684395192537,global
height,0.2111363792403128,0.028944151989377144,0.029014332971619438,7.276968229696587,0,0.15426933158048572,0.2680034269001399,global
n_years,0.1698435546292707,0.1440324243715984,0.14413566136379805,1.178359005829834,0.2386535,0.05475595315722162,0.4492010450167737,global
snowdepth,-0.21630273623578478,0.040558737034333846,0.040656515780241265,5.3202477409760265,1e-7,-0.29598804290194203,-0.13661742956962752,global
veg_foliage,-0.19798459992911793,0.04402279082157042,0.0441244431346914,4.486959740766881,7.2e-6,-0.2844669193109987,-0.11150228054723715,global
latitude,-0.0225853182656122,0.06458677573252176,0.06463670658852273,0.34941938501586,0.7267745,-0.3320713331039283,0.0348615636649387,global
