(Intercept),elevation_change,height,latitude,n_years,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.6128908007020822,-0.6494981647987952,0.21159559008039705,NA,0.23489446054625593,-0.21929606188091497,-0.19159341330023275,8,270.4719312279792,-524.6552853016498,0,0.507579272933106
0.653293077115315,-0.683335149991602,0.2109395751955381,NA,NA,-0.21358171688560953,-0.19807521964592018,7,268.9686399362327,-523.7132798724654,0.9420054291844053,0.316920256975371
0.6874500869347717,-0.6809909233853103,0.20998108578378696,-0.1486048847194948,0.3106619676853838,-0.2118565330716587,-0.21974389550589585,9,270.27435208939346,-522.1872583956543,2.46802690599543,0.1477674048311
0.6657159126845079,-0.6895072917528935,0.21076074219196325,-0.02134490338316715,NA,-0.21223037489613777,-0.20198355330212373,8,267.5211963216255,-518.7538154889423,5.9014698127074325,0.0265470331368984
0.5310093567750809,-0.6551860515229413,0.20501806335227304,NA,0.2576462985956467,-0.20002135675483063,NA,7,262.7362950373119,-511.2485900746238,13.406695227025978,0.000622697325591531
0.572338094459057,-0.6922133166801901,0.20510509578619832,NA,NA,-0.19552570454251605,NA,6,261.1689836180265,-510.17030256539437,14.484982736255404,0.000363186622017259
0.513018664952126,-0.6582224538927718,0.20672894918118118,0.11736866224444996,NA,-0.2025951916689267,NA,7,260.50807464546773,-506.79214929093547,17.8631360107143,6.70769303694561e-05
0.5197415715316,-0.6496068512086861,0.20562389552825042,0.026963059830837254,0.2431661417401834,-0.20141144497040644,NA,8,261.36484008070835,-506.4411030071081,18.214182294541672,5.6278750654514e-05
0.4376037555375088,NA,0.21123367364809995,NA,0.2986717237117253,-0.2158177937972805,-0.1982606222904488,7,259.4452813416127,-504.66656268322544,19.988722618424333,2.31743687183411e-05
0.47638550475606345,NA,0.21073680835687997,NA,NA,-0.2125252073861237,-0.20311295715420524,6,258.2083554736839,-504.2490462767092,20.40623902494059,1.88081195593655e-05
0.6322335542071156,-0.7035684149378194,0.21205804429453926,NA,NA,NA,-0.17646706648806634,6,257.70506885621455,-503.24247304177044,21.41281225987933,1.13702699590845e-05
