rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),0.6347665157155633,0.04429276189939203,14.331156796168905,0.5500796277550295,0.7193087412693465,meso
elevation_change,-0.6390673727949041,0.11250329064581958,-5.680432715579868,-0.8537077156677062,-0.4245163064472123,meso
veg_foliage,-0.17261103166990255,0.04387844928628904,-3.9338453039597128,-0.2563081785569293,-0.08674247005142513,meso
snowdepth,-0.22182085718065753,0.042417126519589406,-5.2295116473345855,-0.30726064604376424,-0.1403721125683438,meso
n_years,0.22543750351512729,0.0968112900382405,2.3286282356745724,0.04071997919518791,0.41006259668848277,meso
.sig01,NA,NA,NA,0.08742109961334847,0.15174892633340176,meso
.sigma,NA,NA,NA,0.12663069295092086,0.14384081099618132,meso
