rowname,estimate,SE,Adjusted SE,z value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),17.530639826592683,2.523655138780224,2.534594710250499,6.916545574601982,0,12.562925479095973,22.498354174089393,global
elevation_change,-21.042152775993706,4.452673184954278,4.471970719908908,4.705342251530288,2.5e-6,-29.80705432693282,-12.27725122505459,global
latitude,17.13172491151649,3.6899579552283597,3.7059481806587904,4.622764290371447,3.8e-6,9.868199948853523,24.395249874179456,global
snowdepth,0.455949323132918,1.2607093314939384,1.2657149797038985,0.36023064469031,0.7186747,-2.29794260340341,3.8062856206524796,global
veg_foliage,-11.990966448344636,1.8337893364342837,1.8417383856296572,6.510678466553837,0,-15.600707353123704,-8.381225543565568,global
