(Intercept),elevation_change,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
17.545143447639482,-21.10007088391282,17.07419415103267,0.7541715086245349,-11.979359792708307,7,-790.3529429551337,1595.1073196020236,0,0.604190547597313
17.508465365667313,-20.9536022811359,17.21968319422667,NA,-12.008711763880088,6,-791.8282026732799,1595.9564053465597,0.8490857445360689,0.395182131908376
26.286925042952728,-22.436087038988536,NA,1.007119315437349,-16.334151290181147,6,-798.9475025978788,1610.1950051957576,15.087685593734022,0.000319833998482661
26.329213170409826,-22.254602813965015,NA,NA,-16.405744310426577,5,-800.5104168736885,1611.2343568790498,16.127037277026147,0.000190209532053824
12.767800218015378,NA,16.010851262737468,0.5074290437039908,-14.381823557570726,6,-800.4839881576188,1613.2679763152375,18.16065671321394,6.88077611997154e-05
12.768140484215627,NA,16.11122178520558,NA,-14.394238356562443,5,-801.8923510297608,1613.9982251911943,18.890905589170643,4.7760173829983e-05
19.760933752764487,NA,NA,0.7501724306645847,-16.63283118087193,5,-806.8432860384135,1623.9000952084996,28.79277560647597,3.37988671640032e-07
19.82807138483141,NA,NA,NA,-16.67593476886329,4,-808.3127488950421,1624.7673417617154,29.660022159691835,2.19069515638544e-07
8.271321476184022,-18.80285435592127,25.68126306274287,0.7017815671710307,NA,6,-807.0834872579829,1626.4669745159658,31.359654913942222,9.3650776964851e-08
8.215179826113143,-18.655828481420752,25.835684048558527,NA,NA,5,-808.6003596064087,1627.41424234449,32.30692274246644,5.83196339479601e-08
2.41620547770784,NA,26.345675941177237,0.41269659928040686,NA,5,-821.991861284593,1654.1972457008587,59.08992609883512,8.91167841333407e-14
2.4094548135643006,NA,26.43437453033307,NA,NA,4,-823.4717147595921,1655.0852734908156,59.977953888791944,5.71645411312875e-14
18.24338073679177,-20.320588631545636,NA,1.5362989979198014,NA,5,-832.3215194166618,1674.8565619649962,79.74924236297261,2.90968502868951e-18
18.25448211540072,-20.03216336719483,NA,NA,NA,4,-834.178511555277,1676.4988670821854,81.39154748016176,1.28004121824501e-18
12.208553964847505,NA,NA,1.2598027516785666,NA,4,-838.8286601899331,1685.7991643514974,90.69184474947383,1.22374255428275e-20
12.288369817490352,NA,NA,NA,NA,3,-840.5573096681029,1687.199424989916,92.09210538789239,6.07613379226046e-21
