rowname,estimate,SE,t value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),-2.1192343402573997,0.656823078648269,-3.2264918958370776,0.0012531778081216857,-4.434711482870693,-0.42360006481577106,macro
latitude,3.307127624341617,2.3977493239417695,1.3792632913372609,0.16781359022582232,-3.7385909474561063,10.00558606411997,macro
.sig01,NA,NA,NA,NA,0,2.440961191391754,macro
.sigma,NA,NA,NA,NA,1.3281810499623126,2.413813832327589,macro
