rowname,estimate,SE,t value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),-0.9020698996942093,2.033844325046041,-0.44352947203753595,0.6573828066304701,-6.0622134025349235,4.732131702665791,micro
height,-0.5323143000264308,2.3967752844469645,-0.22209604024236163,0.8242391203186413,-7.746349875109868,6.030243388262374,micro
.sig01,NA,NA,NA,NA,0,2.7753090238569267,micro
.sigma,NA,NA,NA,NA,1.3326874385714425,2.386782603093728,micro
