(Intercept),elevation_change,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
1.099346386497582,-5.630859945672673,NA,NA,-0.7966506383728316,5,75.44843793310851,-140.01452292504055,0,0.509874240902068
0.8457084577299353,-5.4452316826719045,0.6691844086669753,NA,-0.7461456473682737,6,75.65916371153526,-138.06459607978692,1.9499268452536285,0.192327699660467
1.0710565567536436,-5.636223507204089,NA,0.3454236090540361,-0.7614721593835609,6,75.6163796220757,-137.9790279008678,2.0354950241727465,0.184272676248426
0.8158408630533751,-5.448844768852009,0.6739930315529374,0.3469279521902251,-0.7111800071917689,7,75.82809838587964,-135.9592270747896,4.055295850250957,0.0671222902781787
0.1167126786758006,-5.606080177273476,1.5849672321679953,NA,NA,5,71.63154282311184,-132.38073270504722,7.63379021999333,0.0112151887598579
0.6602758638164898,-6.153776362272842,NA,NA,NA,4,70.34323227437254,-132.10675440381755,7.907768521223005,0.00977941677913131
0.6399835212309608,-6.112836433465409,NA,0.8003851142005205,NA,5,71.18634811685025,-131.49034329252405,8.524179632516507,0.00718556600669403
0.12620567729375065,-5.599159869961104,1.5043699168106777,0.7297217925138142,NA,6,72.3225772672171,-131.3914231911506,8.623099733889944,0.00683881343314392
-0.7179597333719216,NA,NA,NA,-0.8347777422047413,4,69.7546123109562,-130.92951447698488,9.085008448055675,0.00542848388892418
-1.273686809082669,NA,2.292471013875015,NA,-0.8074297596425332,5,70.17047264033309,-129.4585923394897,10.55593058555084,0.00260178777907139
-0.7502718880299442,NA,NA,0.36419393858519955,-0.7965781619339356,5,69.94198460922206,-129.00161627726766,11.012906647772894,0.00207033573502262
-1.308053393371214,NA,2.3011189623350052,0.3660336992079487,-0.7691778043644608,6,70.35933545260096,-127.46493956191833,12.549583363122224,0.000960186663076495
-1.3446325761317213,NA,NA,NA,NA,3,64.70803507063908,-123.07321299842103,16.941309926619525,0.000106832739002367
-1.356044540932327,NA,NA,0.8040813303118273,NA,4,65.55757612163555,-122.53544209834357,17.479080826696986,8.16448688720112e-05
-2.1192343402573997,NA,3.307127624341617,NA,NA,4,65.52340050533041,-122.4670908657333,17.547432059307255,7.89017461016538e-05
-2.1069373810560217,NA,3.2220286994294876,0.7857492031495777,NA,5,66.33070012247586,-121.77904730377526,18.235475621265294,5.59345119633805e-05
