rowname,estimate,SE,Adjusted SE,z value,Pr(>|z|),2.5 %,97.5 %,model
(Intercept),1.0384369808585383,0.42095258758810816,0.42808406564523516,2.4257781688121023,0.0152756,0.19940762983839733,1.8774663318786793,global
elevation_change,-5.591701352387546,0.9952932401603954,1.0130642483536458,5.519592031280099,0,-7.577270793185832,-3.60613191158926,global
veg_foliage,-0.7783805820126788,0.2468753705388693,0.2512765364697252,3.0977049944592068,0.0019503,-1.2708735436533054,-0.2858876203720521,global
latitude,0.14518486545116147,0.5452457306846534,0.5526121649485946,0.26272470035954953,0.7927628,-1.3457716210103645,2.6841404383443153,global
snowdepth,0.07180367229099228,0.30685604512611636,0.31126312295604736,0.230684803291431,0.8175597,-0.8492953693457435,1.5401425874538157,global
