rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),4.886516094337014,2.284938690342278,2.138576459399454,0.4196136402829289,9.358891327300128,macro
latitude,13.350663295500368,4.435061999042075,3.0102540389252654,4.670030788921781,22.02117389768725,macro
.sig01,NA,NA,NA,5.345497831481738,8.919210414460421,macro
.sigma,NA,NA,NA,5.042663249879471,5.727103540951425,macro
