rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),9.426420986597913,1.398939906285333,6.7382601241452225,6.648148750706988,12.203676447146847,micro
height,8.291895305709055,1.1740789568668297,7.062468207280514,5.987039765770073,10.592202020413717,micro
.sig01,NA,NA,NA,6.109794235675893,10.104927273951077,micro
.sigma,NA,NA,NA,4.798573802127693,5.4497308758818415,micro
