site,micro,year,chi_squared,df,p_value,method
catalina,soil,2015,79.37509131,1,5.14E-19,overlap by foliage
catalina,air,2015,0.764222326,1,0.382010378,overlap by foliage
catalina,soil,2016,86.44116837,1,1.44E-20,overlap by foliage
catalina,air,2016,1.06097093,1,0.302993843,overlap by foliage
