micro,leafoff_Dscore,leafon_Dscore,leafoff_TAD,leafon_TAD,leafoff_KDE,leafon_KDE,Dscore_foliage_diff,TAD_foliage_diff,KDE_foliage_diff,Dscore_foliage_reduction,TAD_foliage_reduction,KDE_foliage_reduction,mean_reduction
canopy,1.0325525773805186,0.37274474181501027,5.686598886676128,-1.0761232232380076,0.25212691695307393,-0.14016037663862932,0.6598078355655084,6.762722109914136,0.3922872935917032,0.6390065261755232,1.1892384612812057,1.5559119919937627,1.1280523264834972
soil,-2.958328031055208,-4.477095184019108,-5.257127753024945,-5.519694016993014,0.0723743556680325,-0.11059418202485057,1.5187671529638997,0.26256626396806926,0.18296853769288307,0.5133870000285836,0.04994481327127516,2.528085203716703,1.0304723390055206
surface,0.7028862029221156,0.7701420421846683,1.034889835941348,1.139822568127146,0.13842285713537092,-0.014815142992016347,-0.06725583926255274,-0.10493273218579802,0.15323800012738725,-0.09568524603691095,-0.1013950746654594,1.1070281548771084,0.3033159447249127
all micros,-0.40762975025085796,-1.1114028000064764,0.48812032319751036,-1.818664890701292,0.15430804325215913,-0.0885232338851654,0.7037730497556185,2.3067852138988023,0.24283127713732452,0.3522360933890653,0.37926273329567384,1.7303417835291914,0.8206135367379768
