rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),17.741519240188076,3.7879999951826124,4.68361120980751,10.369718319816386,25.110957643326433,meso
elevation_change,-16.124325792942997,6.2509003687011075,-2.5795205237439287,-28.08281500729965,-4.14844373174383,meso
veg_foliage,-11.790359992547613,1.9671854417553025,-5.993517307665299,-15.56160705893408,-7.7144144900907365,meso
snowdepth,-1.477254172401255,1.6493105509034989,-0.8956798169950524,-4.716957984482596,1.7419441382890684,meso
n_months,3.2032568354588573,4.44607121184106,0.7204690799660922,-5.478285423395041,11.817439839825873,meso
.sig01,NA,NA,NA,5.130391722071571,8.699658736420625,meso
.sigma,NA,NA,NA,4.859127814529805,5.520233644777564,meso
