(Intercept),elevation_change,height,latitude,n_months,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
14.757049326547167,-15.595234665378015,8.645834164173605,3.6825051265860638,3.1640854883345138,-1.54914091139248,-11.750214330069106,9,-1566.8662519932611,3152.093949769655,0,0.490803575859139
14.782406040857586,-15.87215927087353,8.646224472950475,3.241085917808199,3.27163843082971,NA,-11.656359615832264,8,-1568.722702572017,3153.7339822983427,1.6400325286876978,0.216161915192795
16.293927187763725,-14.876842151946347,8.622281094884961,4.894690064315528,NA,-1.578781820054198,-11.949314949452551,8,-1569.526583161835,3155.341743477979,3.247793708324025,0.0967516266244883
15.894162297300975,-16.78006712685766,8.630863852836452,NA,4.468943533079997,-1.4325499363355516,-12.072678073096622,8,-1569.6388617051502,3155.5663005646093,3.472350794954309,0.0864761454802027
16.373165486043863,-15.134149862709782,8.621633465365404,4.486364945153638,NA,NA,-11.860795284891882,7,-1571.4015327476743,3157.027065495349,4.933115725693824,0.0416576962618265
15.773532704751347,-16.909121942847364,8.634660071625763,NA,4.442387667418507,NA,-11.937583011222491,7,-1571.4244504776316,3157.0729009552633,4.978951185608366,0.0407138531097611
19.02497565166616,-16.23819925287966,8.57837685585505,NA,NA,-1.421336691288163,-12.592010765643293,7,-1572.5408100096495,3159.305620019299,7.211670249644158,0.0133325561335707
18.88670463603314,-16.369327991486504,8.582354696304698,NA,NA,NA,-12.45468195460696,6,-1574.3197187404035,3160.8071021514656,8.713152381810687,0.00629318818325251
11.204197780458658,NA,8.576421754498975,6.743337862104967,0.5929077100203717,-1.679395912701606,-11.967367017377246,8,-1572.677675635957,3161.643928426223,9.549978656567873,0.00414148604004859
11.168911466948336,NA,8.575179639078964,6.327794221895946,0.6482686594104256,NA,-11.868380673797965,7,-1574.6183053250409,3163.460610650082,11.366660880426934,0.0016698161964632
11.500720020632503,NA,8.578252502949905,6.987105239744749,NA,-1.6917668308815317,-11.958604537254997,7,-1575.170594161353,3164.565188322706,12.47123855305108,0.000961197594293451
11.49686767082791,NA,8.576591925593245,6.587482558942084,NA,NA,-11.863166409281732,6,-1577.1195016500326,3166.406667970724,14.312718201068947,0.000382772254687559
12.863165536265816,NA,8.539603845086926,NA,2.767300830473595,-1.5108957439412813,-12.547313938565246,7,-1576.1102558958,3166.4445117916002,14.35056202194528,0.000375597565842759
12.718864468901609,NA,8.541911233933705,NA,2.7171000623325177,NA,-12.412650112795307,6,-1577.9429334021042,3168.053531474867,15.959581705212258,0.000168007467019938
14.858029652731378,NA,8.51694180776247,NA,NA,-1.5030468714155072,-12.79711207949304,6,-1578.7313469128435,3169.6303584963457,17.536408726690752,7.63703792026781e-05
14.677984332906275,NA,8.519718957608541,NA,NA,NA,-12.657574325305916,5,-1580.5591444858387,3171.237810884028,19.143861114373067,3.418779538812e-05
4.067884660646447,-14.71217363162804,8.53460962176972,10.106918901293959,7.193529287096224,-1.0664221787705443,NA,8,-1586.380335113192,3189.0492473806926,36.95529761103762,4.63624954198758e-09
4.146944212288901,-14.909561616701417,8.536087976119255,9.767167528213413,7.242332414820198,NA,NA,7,-1588.001703032254,3190.227406064508,38.133456294853204,2.57236680042339e-09
7.239100153220592,-13.026271372564183,8.459815600425419,13.149575216553652,NA,-1.0940201801759766,NA,7,-1590.1639281540033,3194.551856308007,42.457906538351835,2.95999145163066e-10
7.341676419621413,-13.216274610068176,8.461165159323077,12.822493203951721,NA,NA,NA,6,-1591.7958463409277,3195.759357352514,43.66540758285919,1.6183965224572e-10
6.717277426491346,-18.036280445399985,8.439645687257638,NA,10.946831514721328,-0.5920408176449202,NA,7,-1591.4780070724364,3197.180014144873,45.08606437521803,7.95414005641549e-11
6.7068065887320465,-18.08493921887392,8.442814409289301,NA,10.910225257162304,NA,NA,6,-1592.9477398270644,3198.0631443247876,45.96919455513262,5.1147445917636e-11
