rowname,estimate,SE,t value,2.5 %,97.5 %,model
(Intercept),16.32605699953317,1.8501080967757062,8.824380060811345,12.777972260359785,19.867110760503664,meso
elevation_change,-13.03882258126074,4.75014640026642,-2.7449306784585494,-22.101829967175888,-3.9741999651471147,meso
veg_foliage,-10.93198090522127,1.751453424083145,-6.241662355905336,-14.296766714002585,-7.327047024510865,meso
snowdepth,-1.8183713433212603,1.6347968001290047,-1.112291963856162,-5.072522630502053,1.3388393369067813,meso
n_years,20.093921011560475,4.090304687515508,4.912573156931671,12.286835618282172,27.897590974886384,meso
.sig01,NA,NA,NA,3.7499784577060074,6.469177041547777,meso
.sigma,NA,NA,NA,4.858881580073358,5.519676442232591,meso
