(Intercept),elevation_change,height,latitude,n_years,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
17.050355710382444,-14.232186781821936,8.80926872052065,-3.504116180800567,22.309146838008907,-1.6168095584571427,-12.074400937469742,9,-1556.195184931661,3130.751815646455,0,0.591172731061373
17.155953594172935,-14.501257507914412,8.807881983481714,-3.975628189197525,22.403057902073524,NA,-12.010907132379893,8,-1558.0949648028713,3132.4785067600515,1.7266911135966438,0.249326351533882
15.283669348560608,-13.48666199498367,8.854106929283418,NA,20.526655632903232,-1.8064266083119367,-11.392375986583833,8,-1558.8661359703392,3134.020849094987,3.2690334485323547,0.115306237011104
15.14216443677273,-13.677572759464661,8.855222674813557,NA,20.358910839487706,NA,-11.235454437755061,7,-1560.9008285522164,3136.025657104433,5.273841457978051,0.0423169415300329
12.46506467087491,NA,8.689415061667063,-1.6275792221309,22.742326187159723,-1.7879344762917346,-12.089790871309383,8,-1563.5276173740367,3143.343811902382,12.59199625592737,0.00108992633989491
12.481281799798891,NA,8.685543019484555,-2.106416823450513,22.85423509801908,NA,-12.011630424680469,7,-1565.5445398929464,3145.313079785893,14.561264139438208,0.000407170270545939
11.74885277119254,NA,8.714117912499228,NA,21.87413430905657,-1.8634591634469524,-11.79479890981464,7,-1565.9245550699547,3146.0731101399097,15.321294493454843,0.000278443809028848
11.552229578024708,NA,8.714198706527961,NA,21.7202613022805,NA,-11.639623740107606,6,-1567.9996257974067,3148.166916265472,17.415100619017267,9.77402269011973e-05
16.293927187763725,-14.876842151946347,8.622281094884961,4.894690064315528,NA,-1.578781820054198,-11.949314949452551,8,-1569.526583161835,3155.341743477979,24.589927831524165,2.70445281968932e-06
16.373165486043863,-15.134149862709782,8.621633465365404,4.486364945153638,NA,NA,-11.860795284891882,7,-1571.4015327476743,3157.027065495349,26.275249848893964,1.16443803631662e-06
19.02497565166616,-16.23819925287966,8.57837685585505,NA,NA,-1.421336691288163,-12.592010765643293,7,-1572.5408100096495,3159.305620019299,28.553804372844297,3.72678685486568e-07
18.88670463603314,-16.369327991486504,8.582354696304698,NA,NA,NA,-12.45468195460696,6,-1574.3197187404035,3160.8071021514656,30.055286505010827,1.7591053629609e-07
11.500720020632503,NA,8.578252502949905,6.987105239744749,NA,-1.6917668308815317,-11.958604537254997,7,-1575.170594161353,3164.565188322706,33.81337267625122,2.68679053247831e-08
11.49686767082791,NA,8.576591925593245,6.587482558942084,NA,NA,-11.863166409281732,6,-1577.1195016500326,3166.406667970724,35.654852324269086,1.06994532247647e-08
14.858029652731378,NA,8.51694180776247,NA,NA,-1.5030468714155072,-12.79711207949304,6,-1578.7313469128435,3169.6303584963457,38.87854284989089,2.13474537412221e-09
14.677984332906275,NA,8.519718957608541,NA,NA,NA,-12.657574325305916,5,-1580.5591444858387,3171.237810884028,40.485995237573206,9.5563540234021e-10
7.749954996624917,-12.382308412754705,8.473436877837148,6.273758243364079,18.57391211270094,-1.115113131468754,NA,8,-1580.4823455197513,3177.2532681938114,46.50145254735662,4.72119862870146e-11
7.857843337867176,-12.576482291166709,8.475659618387368,5.91038449260223,18.653488273256766,NA,NA,7,-1582.1200885676517,3178.4641771353035,47.71236148884873,2.57695441765648e-11
10.386661029754642,-13.738642215066468,8.370270475254959,NA,21.921732056124743,-0.7199964948097175,NA,7,-1584.1230685115886,3182.4701370231774,51.71832137672254,3.47715138979848e-12
10.356904038013498,-13.814283810054633,8.376173019327261,NA,21.846323399949107,NA,NA,6,-1585.6167652834492,3183.401195237557,52.64937959110239,2.1829655256171e-12
3.7558154964827026,NA,8.444048715643602,7.902734140464695,18.94736979032595,-1.2724515876130766,NA,7,-1586.266665209967,3186.757330419934,56.00551477347926,4.07634921274063e-13
3.8082832930305166,NA,8.445691818673732,7.51533569251629,19.0455389752633,NA,NA,6,-1587.9748519275543,3188.1173685257672,57.36555287931242,2.065108431277e-13
18.645488406532657,-14.032925801132366,NA,-4.7027544681922535,22.507359588387494,-1.605270843740631,-11.749345836425082,8,-1586.9088252961874,3190.1062277466835,59.35441210022873,7.63954630049644e-14
18.74501070408118,-14.297338886156176,NA,-5.165983873837685,22.59940229954491,NA,-11.680630668681182,7,-1588.8007441856355,3191.825488371271,61.07367272481633,3.23396165538332e-14
6.609040540612937,NA,8.332925423545,NA,23.34660061627876,-0.8574529639418478,NA,6,-1590.4741820676772,3193.116028806013,62.3642131595584,1.69628011690034e-14
16.32605699953317,-13.03882258126074,NA,NA,20.09392101156048,-1.8183713433212603,-10.931980905221273,7,-1589.8909718867433,3194.0059437734867,63.25412812703189,1.08706369476441e-14
6.548938826026565,NA,8.33850330365063,NA,23.266244322237167,NA,NA,5,-1592.0127015191292,3194.144924950609,63.39310930415422,1.01408792727703e-14
7.239100153220592,-13.026271372564183,8.459815600425419,13.149575216553652,NA,-1.0940201801759766,NA,7,-1590.1639281540033,3194.551856308007,63.800040661551975,8.2739252112922e-15
7.341676419621413,-13.216274610068176,8.461165159323077,12.822493203951721,NA,NA,NA,6,-1591.7958463409277,3195.759357352514,65.00754170605933,4.52382785823569e-15
16.18728502885637,-13.229248775212609,NA,NA,19.924413300866927,NA,-10.783038162999105,6,-1591.9172999668863,3196.0022646044313,65.25044895797646,4.00644726898758e-15
14.112681546452052,NA,NA,-2.8422769892725976,22.92621276657237,-1.7673732769635124,-11.774193222422928,7,-1593.199655392086,3200.623310784172,69.87149513771737,3.97476999646266e-16
14.126287790100667,NA,NA,-3.3130859204815346,23.036167749824422,NA,-11.695001848880938,6,-1595.1907496429722,3202.549163956603,71.79734831014821,1.51746366198575e-16
3.033425953730347,NA,8.440315563275787,14.991129786421793,NA,-1.2131280437379648,NA,6,-1595.2758476571105,3202.7193599848797,71.96754433842489,1.39367240837194e-16
12.887877630166152,NA,NA,NA,21.399636631061437,-1.878566283786508,-11.306611427364633,6,-1595.8152017792447,3203.798068229148,73.04625258269334,8.12684886067753e-17
3.079696842153374,NA,8.441333109083393,14.657071683900032,NA,NA,NA,5,-1596.958677142098,3204.0368761965465,73.28506055009166,7.21216562817129e-17
12.693106726776122,NA,NA,NA,21.243758115543947,NA,-11.158177683809297,5,-1597.8812007289928,3205.881923370336,75.13010772388134,2.86694121826625e-17
13.869030517984886,-16.76399058905595,8.310839514272066,NA,NA,-0.52962403186892,NA,6,-1597.0620753935489,3206.2918154577565,75.53999981130164,2.33567199056495e-17
13.838301732274024,-16.811043356199853,8.313245217818704,NA,NA,NA,NA,5,-1598.519280607231,3207.1580831268125,76.40626748035766,1.51462185262984e-17
17.879127839189525,-14.686276657206175,NA,3.7776460199168453,NA,-1.5847796650684378,-11.671831361257603,7,-1598.4168532531846,3211.0577065063694,80.3058908599146,2.15532000945178e-18
