comparison,micro,chi_squared,df,p_value,method
templeafonVSnonforest,soil,207.57588999236123,1,4.642503139827803e-47,overlap by macro
templeafonVSnonforest,surface,229.16822484781963,1,9.051910958201443e-52,overlap by macro
